year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
1948,Alabama,1,Harry Truman,Democrat,0,214980,0,40930,0
1948,Alabama,1,Thomas Dewey,Republican,40930,214980,19.038980370267,40930,100
1952,Alabama,1,Adlai Stevenson,Democrat,275075,426120,64.5534121843612,424306,64.82939199539955
1952,Alabama,1,Dwight Eisenhower,Republican,149231,426120,35.02088613536093,424306,35.17060800460045
1956,Alabama,1,Adlai Stevenson,Democrat,280844,496871,56.52251791712537,476538,58.93422979909262
1956,Alabama,1,Dwight Eisenhower,Republican,195694,496871,39.38527303867603,476538,41.06577020090738
1960,Alabama,1,John Kennedy,Democrat,318303,564473,56.38941100814388,556284,57.219513773540136
1960,Alabama,1,Richard Nixon,Republican,237981,564473,42.1598552986591,556284,42.780486226459864
1964,Alabama,1,Lyndon Johnson,Democrat,0,689817,0,479085,0
1964,Alabama,1,Barry Goldwater,Republican,479085,689817,69.45102831620561,479085,100
1968,Alabama,1,Hubert Humphrey,Democrat,196579,1049917,18.72328955526961,343502,57.22790551437837
1968,Alabama,1,Richard Nixon,Republican,146923,1049917,13.993772841091248,343502,42.77209448562163
1972,Alabama,1,George McGovern,Democrat,256923,1006093,25.536704857304443,985624,26.06703976364212
1972,Alabama,1,Richard Nixon,Republican,728701,1006093,72.42879137415726,985624,73.93296023635789
1976,Alabama,1,"CARTER, JIMMY",Democrat,659170,1182850,55.72726888447394,1163240,56.66672397785496
1976,Alabama,1,"FORD, GERALD",Republican,504070,1182850,42.61487086274675,1163240,43.33327602214504
1980,Alabama,1,"REAGAN, RONALD",Republican,654192,1341929,48.75012016284021,1290922,50.676338307039465
1980,Alabama,1,"CARTER, JIMMY",Democrat,636730,1341929,47.448859067804634,1290922,49.323661692960535
1984,Alabama,1,"REAGAN, RONALD",Republican,872849,1441713,60.54249354760621,1424748,61.263395351318266
1984,Alabama,1,"MONDALE, WALTER",Democrat,551899,1441713,38.28078126506455,1424748,38.736604648681734
1988,Alabama,1,"BUSH, GEORGE H.W.",Republican,815576,1378476,59.16504893810266,1365082,59.745568398088906
1988,Alabama,1,"DUKAKIS, MICHAEL",Democrat,549506,1378476,39.8632983091472,1365082,40.254431601911094
1992,Alabama,1,"BUSH, GEORGE H.W.",Republican,804283,1688060,47.64540359939812,1494363,53.821126459902985
1992,Alabama,1,"CLINTON, BILL",Democrat,690080,1688060,40.88006350485173,1494363,46.178873540097015
1996,Alabama,1,"DOLE, ROBERT",Republican,769044,1534349,50.12184320516389,1431209,53.733871153688945
1996,Alabama,1,"CLINTON, BILL",Democrat,662165,1534349,43.15608769582409,1431209,46.266128846311055
2000,Alabama,1,"BUSH, GEORGE W.",Republican,941173,1666272,56.483755353267654,1633784,57.60694192133109
2000,Alabama,1,"GORE, AL",Democrat,692611,1666272,41.566502947898066,1633784,42.39305807866891
2004,Alabama,1,"BUSH, GEORGE W.",Republican,1176394,1883415,62.46068975770077,1870327,62.89777135228225
