FIPStxt,State,Area_Name,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,GQ_ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023
00000,US,United States,,,,,"331,449,281","331,464,948","331,526,933","332,048,977","333,271,411","334,914,895","61,985","522,044","1,222,434","1,643,484","894,123","3,584,459","3,679,254","3,653,356","852,024","3,438,423","3,456,087","3,148,861","42,099","146,036","223,167","504,495","19,886","376,008","999,267","1,138,989",0,0,0,0,"19,886","376,008","999,267","1,138,989",0,0,0,0,,,,,,10.8,11.1,10.9,10.4,10.4,9.4,0.4,0.7,1.5,1.1,3.0,3.4,0.0,0.0,0.0,1.1,3.0,3.4
01000,AL,Alabama,,,,,"5,024,279","5,024,294","5,031,864","5,050,380","5,073,903","5,108,468","7,570","18,516","23,523","34,565","13,867","57,184","58,106","58,251","15,165","69,135","67,208","59,813","-1,298","-11,951","-9,102","-1,562",125,"1,806","4,374","5,384","9,615","27,715","28,464","30,744","9,740","29,521","32,838","36,128",-872,946,-213,-1,"127,914","131,372","134,653","141,654",144014.0,11.3,11.5,11.4,13.7,13.3,11.7,-2.4,-1.8,-0.3,0.4,0.9,1.1,5.5,5.6,6.0,5.9,6.5,7.1
01001,AL,Autauga County,2,2,2,0,"58,805","58,809","58,915","59,203","59,726","60,342",106,288,523,616,162,686,706,714,176,696,687,621,-14,-10,19,93,0,15,22,34,100,242,507,491,100,257,529,525,20,41,-25,-2,484,484,484,484,484.0,11.6,11.9,11.9,11.8,11.6,10.3,-0.2,0.3,1.5,0.3,0.4,0.6,4.1,8.5,8.2,4.4,8.9,8.7
01003,AL,Baldwin County,3,3,2,5,"231,767","231,768","233,227","239,439","246,531","253,507","1,459","6,212","7,092","6,976",560,"2,337","2,511","2,531",602,"2,948","3,022","2,640",-42,-611,-511,-109,11,105,250,291,"1,613","6,972","7,036","6,804","1,624","7,077","7,286","7,095",-123,-254,317,-10,"3,549","3,448","3,351","3,468",3493.0,9.9,10.3,10.1,12.5,12.4,10.6,-2.6,-2.1,-0.4,0.4,1.0,1.2,29.5,29.0,27.2,29.9,30.0,28.4
01005,AL,Barbour County,6,6,6,3,"25,223","25,229","24,969","24,533","24,700","24,585",-260,-436,167,-115,60,270,278,267,92,390,363,350,-32,-120,-85,-83,0,0,2,13,-186,-313,237,-45,-186,-313,239,-32,-42,-3,13,0,"2,721","2,482","2,248","2,702",2702.0,10.9,11.3,10.8,15.8,14.7,14.2,-4.8,-3.5,-3.4,0.0,0.1,0.5,-12.6,9.6,-1.8,-12.6,9.7,-1.3
01007,AL,Bibb County,1,1,1,0,"22,293","22,301","22,188","22,359","21,986","21,868",-113,171,-373,-118,56,240,236,240,55,325,314,290,1,-85,-78,-50,0,1,1,1,-101,254,-303,-69,-101,255,-302,-68,-13,1,7,0,"2,141","2,060","1,994","2,025",1894.0,10.8,10.6,10.9,14.6,14.2,13.2,-3.8,-3.5,-2.3,0.0,0.0,0.0,11.4,-13.7,-3.1,11.4,-13.6,-3.1
01009,AL,Blount County,1,1,1,0,"59,134","59,130","59,107","59,079","59,516","59,816",-23,-28,437,300,137,654,693,698,199,875,846,776,-62,-221,-153,-78,1,9,8,24,21,141,589,358,22,150,597,382,17,43,-7,-4,616,616,616,616,616.0,11.1,11.7,11.7,14.8,14.3,13.0,-3.7,-2.6,-1.3,0.2,0.1,0.4,2.4,9.9,6.0,2.5,10.1,6.4
01011,AL,Bullock County,6,8,6,3,"10,357","10,360","10,229","10,143","10,143","9,897",-131,-86,0,-246,24,111,103,102,41,160,138,133,-17,-49,-35,-31,0,1,5,6,-94,-42,32,-219,-94,-41,37,-213,-20,4,-2,-2,"1,705","1,631","1,578","1,648",1615.0,10.9,10.2,10.2,15.7,13.6,13.3,-4.8,-3.5,-3.1,0.1,0.5,0.6,-4.1,3.2,-21.9,-4.0,3.6,-21.3
01013,AL,Butler County,6,6,6,0,"19,051","19,046","19,025","18,890","18,668","18,382",-21,-135,-222,-286,47,227,207,212,88,297,312,299,-41,-70,-105,-87,0,5,6,8,15,-75,-117,-207,15,-70,-111,-199,5,5,-6,0,285,285,285,285,285.0,12.0,11.0,11.4,15.7,16.6,16.1,-3.7,-5.6,-4.7,0.3,0.3,0.4,-4.0,-6.2,-11.2,-3.7,-5.9,-10.7
01015,AL,Calhoun County,3,3,2,4,"116,441","116,441","116,243","115,678","115,780","116,429",-198,-565,102,649,305,"1,250","1,334","1,346",397,"1,843","1,852","1,649",-92,-593,-518,-303,0,12,22,29,-115,-70,635,923,-115,-58,657,952,9,86,-37,0,"5,632","5,554","5,407","5,749",5936.0,10.8,11.5,11.6,15.9,16.0,14.2,-5.1,-4.5,-2.6,0.1,0.2,0.2,-0.6,5.5,7.9,-0.5,5.7,8.2
01017,AL,Chambers County,6,6,5,0,"34,772","34,772","34,651","34,488","34,164","34,079",-121,-163,-324,-85,87,392,401,398,167,592,558,511,-80,-200,-157,-113,2,22,49,55,-51,-6,-208,-26,-49,16,-159,29,8,21,-8,-1,860,860,856,860,860.0,11.3,11.7,11.7,17.1,16.3,15.0,-5.8,-4.6,-3.3,0.6,1.4,1.6,-0.2,-6.1,-0.8,0.5,-4.6,0.8
01019,AL,Cherokee County,6,8,6,0,"24,971","24,973","24,969","25,074","25,353","25,666",-4,105,279,313,62,254,238,230,122,442,456,409,-60,-188,-218,-179,0,7,14,14,59,284,476,482,59,291,490,496,-3,2,7,-4,278,278,278,278,278.0,10.2,9.4,9.0,17.7,18.1,16.0,-7.5,-8.6,-7.0,0.3,0.6,0.5,11.4,18.9,18.9,11.6,19.4,19.4
01021,AL,Chilton County,1,1,1,0,"45,014","45,011","45,057","45,259","45,848","46,431",46,202,589,583,147,534,540,548,143,659,643,588,4,-125,-103,-40,1,20,26,49,26,289,656,577,27,309,682,626,15,18,10,-3,388,388,388,388,388.0,11.8,11.9,11.9,14.6,14.1,12.7,-2.8,-2.3,-0.9,0.4,0.6,1.1,6.4,14.4,12.5,6.8,15.0,13.6
01023,AL,Choctaw County,9,9,10,3,"12,665","12,669","12,626","12,548","12,431","12,252",-43,-78,-117,-179,33,131,141,108,53,205,213,200,-20,-74,-72,-92,0,1,2,2,-22,-12,-41,-88,-22,-11,-39,-86,-1,7,-6,-1,66,66,66,66,66.0,10.4,11.3,8.8,16.3,17.1,16.2,-5.9,-5.8,-7.5,0.1,0.2,0.2,-1.0,-3.3,-7.1,-0.9,-3.1,-7.0
