FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1,Alabama,State,2323282,849624,1441170,0,25176,0,0,0,0,0,7312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,359530,153778,189951,825,8897,0,1127,318,0,0,1961,0,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,3397388,1672143,1661686,0,51465,1557,0,0,0,190,10098,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0
5,Arkansas,State,1219069,423932,760647,2141,13133,2980,2108,1321,4099,1336,0,0,1372,1713,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475
6,California,State,17531845,11110639,6006518,185,187910,81032,0,60162,0,51038,30465,0,0,2605,0,0,0,611,0,0,121,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,3256980,1804352,1364607,572,52460,8986,5061,636,8089,1035,4,354,0,2515,568,355,0,0,762,379,196,2730,0,2011,0,24,495,0,0,0,614,0,0,175,0,0,0,0,0
9,Connecticut,State,1824456,1080831,715311,0,20230,7538,0,13,258,0,21,0,0,221,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
10,Delaware,State,504346,296268,200603,5,5000,2139,0,0,169,14,21,0,0,87,0,0,0,0,0,0,0,0,1,8,0,1,2,0,0,0,0,0,0,0,28,0,0,0,0
11,District of Columbia,State,344356,317323,18586,693,2036,1726,0,0,0,855,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,11092221,5297045,5668731,0,70324,14721,3902,5966,0,5712,24785,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0
13,Georgia,State,4999960,2473633,2461854,0,62229,1013,61,0,0,159,49,0,0,701,0,0,0,0,0,0,0,0,8,65,0,0,7,0,0,0,0,0,0,0,181,0,0,0,0
15,Hawaii,State,574469,366130,196864,1183,5539,3822,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,870351,287021,554119,2808,16404,415,1806,1491,3632,49,2415,0,0,163,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0
17,Illinois,State,6049516,3471915,2446891,0,66544,30494,18,0,0,8046,15899,0,0,9548,3,0,0,0,0,0,5,0,0,75,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
18,Indiana,State,3039801,1242505,1729863,0,58901,989,0,0,0,0,6648,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1690871,759061,897672,544,19637,3075,1707,1082,3210,0,4337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1377484,570323,771406,0,30574,0,0,0,0,0,5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,2138009,772474,1326646,3599,26234,716,0,0,6483,98,1252,0,0,408,0,0,0,0,0,0,0,0,7,43,0,20,0,0,0,0,0,0,0,0,29,0,0,0,0
22,Louisiana,State,2148062,856034,1255776,749,21645,0,860,0,4897,987,0,536,0,2497,0,0,0,0,0,0,0,662,1125,0,0,668,0,0,0,0,0,0,0,0,1626,0,0,0,0
23,Maine,State,819461,435072,360770,0,14119,8230,0,1183,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,3037030,1985023,976414,16,33488,15799,0,26,1117,125,18157,0,0,795,10,0,5884,0,0,0,0,0,4,30,0,11,0,0,0,0,0,0,0,0,131,0,0,0,0
25,Massachusetts,State,3631402,2382202,1167202,0,47013,18658,0,0,0,0,16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,5547186,2804045,2649864,0,60408,13718,7208,2986,0,0,7871,0,0,965,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,89,0,0,0,0
27,Minnesota,State,3277171,1717077,1484065,5651,34976,10033,75,5611,7940,1210,8728,643,0,1037,0,0,0,0,0,1,0,0,0,112,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mississippi,State,1314475,539398,756764,659,8026,1498,1279,0,3657,0,716,0,0,1161,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,3030748,1253014,1718736,0,41205,8283,3919,0,0,64,4789,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
30,Montana,State,605570,244786,343602,0,15252,0,0,0,0,0,1898,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0
31,Nebraska,State,956383,374583,556846,0,20283,0,0,0,0,0,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,1405376,703486,669890,0,14783,0,3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14079,0
33,New Hampshire,State,806215,424937,365660,10,13236,217,0,0,82,0,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
34,New Jersey,State,4565182,2608400,1883313,0,31677,14202,2954,2728,0,2928,15725,0,0,0,0,0,0,0,0,0,0,3255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,New Mexico,State,923965,501614,401894,0,12585,4426,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0
36,New York,State,8632255,5244886,3251997,22656,60383,32832,55,25,2219,437,15425,0,0,999,10,0,0,0,0,9,30,0,0,112,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0
37,North Carolina,State,5524804,2684292,2758775,0,48678,12195,7549,0,0,0,13196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0
