FIPS,Geographic Name,Geographic Subtype,Total Vote,Kamala D. Harris,Donald J. Trump,Robert F. Kennedy Jr.,Chase R. Oliver,Jill E. Stein,Randall Terry,Claudia De la Cruz,Cornel R. West,Rachele Fruit,Write-in,Peter Sonski,Joseph Kishore,Shiva Ayyadurai,Joel Skousen,Richard Duncan,Blake Huber,Mattie Preston,Chris Garrity,Michael Wood,Lucifer Everylove,Bill 'Doc' Stodden,Laura Ebke,Vermin Supreme,None of These Candidates,Jay Bowman,Robert 'Robby' Wells,0,0,0,0,0,0,0,0,0,0,0,0
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1,Alabama,State,2257052,769391,1457704,12026,4914,4297,0,0,0,0,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,255633,103357,141883,4348,2268,1678,680,0,913,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,3238156,1510940,1693427,0,16743,17046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,1180216,395752,758001,13220,5708,4263,0,0,0,0,0,2130,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,California,State,13104515,7721839,4993862,153658,52549,127918,0,54689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,3110142,1686157,1341833,34476,20795,16380,3446,0,4931,0,0,0,0,0,0,0,2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Connecticut,State,1747161,986422,730902,8367,6690,14214,0,256,127,0,6,157,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,511353,289585,214184,4633,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,317792,286787,20659,2726,0,0,0,0,0,0,7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,10932633,4680896,6109564,0,31957,43117,5831,11960,0,0,41691,7441,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,5244250,2544311,2661073,0,20671,18195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,515528,312384,193169,0,2719,4372,0,1951,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,904863,274973,605144,12812,4462,2973,1026,1230,0,0,0,152,0,514,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,5386865,2893086,2403889,77104,6,291,0,18,27,0,12379,63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,2925429,1159786,1715058,29210,20367,0,0,241,157,0,58,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1655722,704842,921795,13058,7196,0,0,1421,0,0,6627,0,0,424,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1296665,531989,741464,15806,7406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,2068861,700920,1336227,16753,6409,7538,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,2006281,766424,1208269,6639,6831,7137,1424,1480,2620,360,0,2240,0,0,0,0,0,2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Maine,State,825727,430512,374453,0,7050,8994,0,0,2886,0,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,2746147,1681851,974667,26321,14299,28734,0,240,157,0,19736,126,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Massachusetts,State,3381110,2072304,1234783,0,17363,25387,0,12264,0,0,0,0,0,19009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,5645934,2729729,2807072,26733,22381,44535,6503,0,6651,0,0,0,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Minnesota,State,3249978,1653745,1516338,24347,15575,16599,0,3282,3324,696,13050,0,0,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Mississippi,State,1125079,420926,689451,5042,2387,1755,961,1028,0,0,1002,926,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Missouri,State,2979048,1190806,1739020,0,23754,16956,0,9,0,0,8466,29,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Montana,State,586667,225272,343064,11426,4141,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nebraska,State,931163,361949,557156,0,6266,2813,0,0,2979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nevada,State,1441076,683815,729660,0,5867,0,0,0,0,0,0,0,0,0,2676,0,0,0,0,0,0,0,0,0,19058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,New Hampshire,State,825795,418354,395408,0,4423,3676,0,0,0,0,3934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,New Jersey,State,4140879,2137175,1911662,22606,10178,36715,2920,4807,17,1230,12273,16,1279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,New Mexico,State,919328,476088,422184,9509,3733,4563,0,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,New York,State,7885439,4345506,3438120,0,0,0,0,0,0,0,101813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,North Carolina,State,5650986,2688713,2878108,0,21820,24353,6790,0,11891,0,19311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,North Dakota,State,367198,111966,245943,0,6206,0,0,0,0,0,3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ohio,State,5644642,2476003,3116579,0,27502,0,0,1287,661,0,30,9973,0,62,0,12532,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Oklahoma,State,1566173,499599,1036213,16020,9198,0,0,0,0,0,0,0,0,0,0,0,0,0,5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
