Year,Quarter,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
1947,Q1,15248,15347,10311,9441,2943,279,3504,6019,143143
1947,Q2,15139,15242,10165,9555,2982,284,3548,6079,143790
1947,Q3,15039,15141,10388,9542,2988,286,3548,6038,144449
1947,Q4,15204,15310,10195,9501,2986,303,3485,5979,145122
1948,Q1,15371,15485,10343,9510,2978,301,3483,6019,145709
1948,Q2,15563,15681,10621,9582,2993,302,3503,6089,146289
1948,Q3,15585,15704,10748,9555,2977,305,3467,6095,146921
1948,Q4,15530,15648,10758,9587,2983,300,3496,6128,147607
1949,Q1,15250,15363,10500,9560,2966,293,3494,6140,148254
1949,Q2,15137,15247,10510,9668,3019,317,3490,6146,148847
1949,Q3,15228,15335,10533,9649,3021,331,3444,6107,149485
1949,Q4,15032,15131,10545,9746,3075,342,3485,6097,150167
1950,Q1,15559,15663,11312,9867,3122,354,3515,6148,150786
1950,Q2,15977,16086,11239,9994,3144,356,3543,6281,151319
1950,Q3,16524,16649,11331,10463,3365,438,3589,6351,151973
1950,Q4,16764,16889,11349,10102,3173,382,3493,6363,152658
1951,Q1,16922,17042,11313,10303,3230,393,3543,6510,153291
1951,Q2,17147,17284,11519,9972,3053,335,3477,6529,153902
1951,Q3,17420,17561,11597,10042,3073,327,3534,6580,154610
1951,Q4,17375,17523,11522,10053,3083,325,3559,6565,155344
1952,Q1,17490,17630,11470,10035,3056,325,3515,6621,155976
1952,Q2,17459,17599,11570,10192,3112,330,3583,6697,156587
1952,Q3,17509,17647,11753,10197,3095,309,3630,6756,157267
1952,Q4,18001,18138,11950,10508,3237,361,3666,6820,157986
1953,Q1,18268,18403,12047,10592,3268,372,3675,6861,158574
1953,Q2,18341,18482,12159,10617,3262,368,3679,6917,159160
1953,Q3,18155,18283,12045,10543,3220,364,3628,6927,159889
1953,Q4,17797,17924,11949,10424,3185,352,3617,6843,160639
1954,Q1,17636,17771,11958,10417,3170,340,3636,6877,161328
1954,Q2,17584,17717,11921,10510,3188,355,3612,6967,161983
1954,Q3,17701,17835,11992,10603,3207,355,3640,7055,162731
1954,Q4,17960,18107,12163,10773,3280,375,3684,7106,163524
1955,Q1,18396,18547,12309,10969,3367,407,3707,7159,164204
