state_abb,year,elxn_year,state_year_type,state_year_type2,grant_mil,state_incvote_avglast3
AK,1984,1,core + election,NA,51.71421904,0.63954186
AK,1985,0,core + nonelection,NA,51.14542569,0.6608231
AK,1986,0,core + nonelection,NA,47.33567345,0.6608231
AK,1987,0,core + nonelection,NA,47.85054185,0.6608231
AK,1988,1,core + election,NA,52.50243328,0.6608231
AK,1989,0,core + nonelection,NA,51.64335602,0.661728
AK,1990,0,core + nonelection,NA,53.69891975,0.661728
AK,1991,0,core + nonelection,NA,52.91966396,0.661728
AK,1992,1,core + election,NA,57.40787457,0.661728
AK,1993,0,NA,NA,59.99565661,0.37402168
AK,1994,0,NA,NA,59.30419496,0.37402168
AK,1995,0,NA,NA,57.98320992,0.37402168
AK,1996,1,NA,NA,53.7719339,0.37402168
AK,1997,0,NA,NA,57.5236102,0.40277973
AK,1998,0,NA,NA,60.50892225,0.40277973
AK,1999,0,NA,NA,83.59376203,0.40277973
AK,2000,1,NA,NA,90.95604378,0.40277973
AK,2001,0,core + nonelection,NA,101.5798316,0.6164657
AK,2002,0,core + nonelection,NA,132.3502325,0.6164657
AK,2003,0,core + nonelection,NA,119.0509815,0.6164657
AK,2004,1,core + election,NA,125.2973885,0.6164657
AK,2005,0,core + nonelection,NA,117.8100487,0.6386391
AK,2006,0,core + nonelection,NA,118.7789335,0.6386391
AK,2007,0,core + nonelection,NA,112.7384502,0.6386391
AK,2008,1,core + election,NA,97.18655281,0.6386391
AL,1984,1,core + election,NA,47.72257819,0.55980855
AL,1985,0,NA,NA,50.06757058,0.5175767
AL,1986,0,NA,NA,46.15015184,0.5175767
AL,1987,0,NA,NA,43.67232681,0.5175767
AL,1988,1,NA,NA,48.14436195,0.5175767
AL,1989,0,core + nonelection,NA,41.04322404,0.57228434
AL,1990,0,core + nonelection,NA,53.30340359,0.57228434
AL,1991,0,core + nonelection,NA,57.60605718,0.57228434
AL,1992,1,core + election,NA,65.85273918,0.57228434
AL,1993,0,NA,NA,73.50762205,0.41723302
AL,1994,0,NA,NA,76.33401633,0.41723302
AL,1995,0,NA,NA,79.32847468,0.41723302
AL,1996,1,NA,NA,75.62384857,0.41723302
AL,1997,0,NA,NA,78.81896676,0.44233143
AL,1998,0,NA,NA,82.94901388,0.44233143
AL,1999,0,NA,NA,89.60068027,0.44233143
AL,2000,1,NA,NA,93.10841732,0.44233143
AL,2001,0,core + nonelection,NA,98.26878799,0.55046844
AL,2002,0,core + nonelection,NA,108.3917862,0.55046844
AL,2003,0,core + nonelection,NA,110.8275004,0.55046844
AL,2004,1,core + election,NA,113.1806429,0.55046844
AL,2005,0,core + nonelection,NA,116.5746017,0.5807239
AL,2006,0,core + nonelection,NA,115.8493047,0.5807239
AL,2007,0,core + nonelection,NA,116.6604136,0.5807239
AL,2008,1,core + election,NA,104.2201926,0.5807239
AR,1984,1,NA,NA,25.54633744,0.51481026
AR,1985,0,NA,NA,25.58558143,0.48841485
AR,1986,0,NA,NA,25.96487896,0.48841485
AR,1987,0,NA,NA,22.82150155,0.48841485
AR,1988,1,NA,NA,23.60867698,0.48841485
AR,1989,0,core + nonelection,NA,24.41379915,0.5624631
AR,1990,0,core + nonelection,NA,28.07951247,0.5624631
AR,1991,0,core + nonelection,NA,30.05330852,0.5624631
AR,1992,1,core + election,NA,34.6865606,0.5624631
AR,1993,0,NA,NA,39.45326664,0.47191012
AR,1994,0,NA,NA,40.3790344,0.47191012
AR,1995,0,NA,NA,40.94186475,0.47191012
AR,1996,1,NA,NA,41.45629646,0.47191012
AR,1997,0,NA,NA,42.5095102,0.5405115
AR,1998,0,NA,NA,44.4249489,0.5405115
AR,1999,0,NA,NA,46.35120161,0.5405115
AR,2000,1,NA,NA,49.79852567,0.5405115
AR,2001,0,NA,NA,58.98042522,0.444852
AR,2002,0,NA,NA,63.3031469,0.444852
AR,2003,0,NA,NA,68.20283452,0.444852
AR,2004,1,NA,NA,68.79757378,0.444852
AR,2005,0,NA,NA,65.74444495,0.49461204
AR,2006,0,NA,NA,64.38160536,0.49461204
AR,2007,0,NA,NA,69.50091322,0.49461204
AR,2008,1,NA,NA,65.62480035,0.49461204
AZ,1984,1,core + election,NA,148.1200511,0.64603263
AZ,1985,0,core + nonelection,NA,134.8868933,0.6464737
AZ,1986,0,core + nonelection,NA,146.0625906,0.6464737
AZ,1987,0,core + nonelection,NA,120.5022734,0.6464737
AZ,1988,1,core + election,NA,135.107649,0.6464737
AZ,1989,0,core + nonelection,NA,143.7604185,0.65357435
AZ,1990,0,core + nonelection,NA,187.1243823,0.65357435
AZ,1991,0,core + nonelection,NA,197.7112673,0.65357435
AZ,1992,1,core + election,NA,248.7960042,0.65357435
AZ,1993,0,NA,NA,301.2994518,0.40279293
AZ,1994,0,NA,NA,300.6532419,0.40279293
AZ,1995,0,NA,NA,335.3671495,0.40279293
AZ,1996,1,NA,NA,310.6652396,0.40279293
AZ,1997,0,swing + nonelection,NA,325.1799577,0.46392792
AZ,1998,0,swing + nonelection,NA,358.2217384,0.46392792
AZ,1999,0,swing + nonelection,NA,379.044281,0.46392792
AZ,2000,1,swing + election year,"swing state
(successor election year)",391.4189071,0.46392792
AZ,2001,0,swing + nonelection,NA,432.1728121,0.51120245
AZ,2002,0,swing + nonelection,NA,513.6780452,0.51120245
AZ,2003,0,swing + nonelection,NA,543.2220065,0.51120245
AZ,2004,1,swing + election year,"swing state
(incumbent re-election year)",612.3337901,0.51120245
AZ,2005,0,swing + nonelection,NA,610.0389622,0.5244461
AZ,2006,0,swing + nonelection,NA,606.4357656,0.5244461
AZ,2007,0,swing + nonelection,NA,633.0565851,0.5244461
AZ,2008,1,swing + election year,"swing state
(successor election year)",670.6190395,0.5244461
CA,1984,1,core + election,NA,376.4257745,0.55786633
CA,1985,0,core + nonelection,NA,392.1309431,0.5620443
CA,1986,0,core + nonelection,NA,409.8656701,0.5620443
CA,1987,0,core + nonelection,NA,379.8248286,0.5620443
CA,1988,1,core + election,NA,399.9628896,0.5620443
CA,1989,0,core + nonelection,NA,367.6379721,0.5650093
CA,1990,0,core + nonelection,NA,453.3583122,0.5650093
CA,1991,0,core + nonelection,NA,475.0066248,0.5650093
CA,1992,1,core + election,NA,562.128359,0.5650093
CA,1993,0,NA,NA,689.7279026,0.4949496
CA,1994,0,NA,NA,761.1587827,0.4949496
CA,1995,0,NA,NA,782.3805038,0.4949496
CA,1996,1,NA,NA,746.3010769,0.4949496
CA,1997,0,NA,NA,789.0542849,0.54641896
CA,1998,0,NA,NA,794.3279354,0.54641896
CA,1999,0,NA,NA,870.0899047,0.54641896
CA,2000,1,NA,NA,865.8465674,0.54641896
CA,2001,0,NA,NA,910.7505799,0.42688003
CA,2002,0,NA,NA,959.1373368,0.42688003
CA,2003,0,NA,NA,999.2915858,0.42688003
CA,2004,1,NA,NA,1029.428971,0.42688003
CA,2005,0,NA,NA,1014.945671,0.43846473
CA,2006,0,NA,NA,985.8182549,0.43846473
CA,2007,0,NA,NA,1013.796859,0.43846473
CA,2008,1,NA,NA,1390.038995,0.43846473
CO,1984,1,core + election,NA,38.1742711,0.61425936
CO,1985,0,core + nonelection,NA,37.26544932,0.6141124
CO,1986,0,core + nonelection,NA,36.17546373,0.6141124
CO,1987,0,core + nonelection,NA,36.35963879,0.6141124
CO,1988,1,core + election,NA,38.37854328,0.6141124
CO,1989,0,core + nonelection,NA,41.62603077,0.6075076
CO,1990,0,core + nonelection,NA,44.21914888,0.6075076
CO,1991,0,core + nonelection,NA,48.76663659,0.6075076
CO,1992,1,core + election,NA,52.41792015,0.6075076
CO,1993,0,NA,NA,62.81705959,0.44827464
CO,1994,0,NA,NA,60.28735266,0.44827464
CO,1995,0,NA,NA,60.26034756,0.44827464
CO,1996,1,NA,NA,59.7745401,0.44827464
CO,1997,0,swing + nonelection,NA,61.36757789,0.4936301
CO,1998,0,swing + nonelection,NA,65.48632112,0.4936301
CO,1999,0,swing + nonelection,NA,71.31010126,0.4936301
CO,2000,1,swing + election year,"swing state
(successor election year)",75.22437733,0.4936301
CO,2001,0,swing + nonelection,NA,78.67161677,0.50814325
CO,2002,0,swing + nonelection,NA,84.31122352,0.50814325
CO,2003,0,swing + nonelection,NA,91.9089623,0.50814325
