year,state,weeks_left,days_left,party,candidate,poll_date,poll_support,before_convention
2016,National,36,250,REP,Donald Trump,2016-03-03,42.9214,TRUE
2016,National,36,250,DEM,Hillary Rodham Clinton,2016-03-03,47.38879,TRUE
2016,National,36,249,REP,Donald Trump,2016-03-04,42.70839,TRUE
2016,National,36,249,DEM,Hillary Rodham Clinton,2016-03-04,47.35847,TRUE
2016,National,35,248,REP,Donald Trump,2016-03-05,42.56142,TRUE
2016,National,35,248,DEM,Hillary Rodham Clinton,2016-03-05,47.32251,TRUE
2016,National,35,247,REP,Donald Trump,2016-03-06,41.99857,TRUE
2016,National,35,247,DEM,Hillary Rodham Clinton,2016-03-06,48.23955,TRUE
2016,National,35,246,REP,Donald Trump,2016-03-07,41.91603,TRUE
2016,National,35,246,DEM,Hillary Rodham Clinton,2016-03-07,48.1249,TRUE
2016,National,35,245,REP,Donald Trump,2016-03-08,41.82387,TRUE
2016,National,35,245,DEM,Hillary Rodham Clinton,2016-03-08,48.21116,TRUE
2016,National,35,244,REP,Donald Trump,2016-03-09,41.71922,TRUE
2016,National,35,244,DEM,Hillary Rodham Clinton,2016-03-09,48.33816,TRUE
2016,National,35,243,REP,Donald Trump,2016-03-10,41.80345,TRUE
2016,National,35,243,DEM,Hillary Rodham Clinton,2016-03-10,48.2334,TRUE
2016,National,35,242,REP,Donald Trump,2016-03-11,41.98511,TRUE
2016,National,35,242,DEM,Hillary Rodham Clinton,2016-03-11,48.10286,TRUE
2016,National,34,241,REP,Donald Trump,2016-03-12,42.36272,TRUE
2016,National,34,241,DEM,Hillary Rodham Clinton,2016-03-12,47.46333,TRUE
2016,National,34,240,REP,Donald Trump,2016-03-13,42.07224,TRUE
2016,National,34,240,DEM,Hillary Rodham Clinton,2016-03-13,47.59109,TRUE
2016,National,34,239,REP,Donald Trump,2016-03-14,42.33985,TRUE
2016,National,34,239,DEM,Hillary Rodham Clinton,2016-03-14,47.49745,TRUE
2016,National,34,238,REP,Donald Trump,2016-03-15,42.36718,TRUE
2016,National,34,238,DEM,Hillary Rodham Clinton,2016-03-15,47.66542,TRUE
2016,National,34,237,REP,Donald Trump,2016-03-16,42.30458,TRUE
2016,National,34,237,DEM,Hillary Rodham Clinton,2016-03-16,47.58393,TRUE
2016,National,34,236,REP,Donald Trump,2016-03-17,42.39415,TRUE
2016,National,34,236,DEM,Hillary Rodham Clinton,2016-03-17,47.41105,TRUE
2016,National,34,235,REP,Donald Trump,2016-03-18,42.26918,TRUE
2016,National,34,235,DEM,Hillary Rodham Clinton,2016-03-18,47.29955,TRUE
2016,National,33,234,REP,Donald Trump,2016-03-19,42.42799,TRUE
2016,National,33,234,DEM,Hillary Rodham Clinton,2016-03-19,47.12518,TRUE
2016,National,33,233,REP,Donald Trump,2016-03-20,41.60321,TRUE
2016,National,33,233,DEM,Hillary Rodham Clinton,2016-03-20,47.40889,TRUE
2016,National,33,232,REP,Donald Trump,2016-03-21,41.57635,TRUE
2016,National,33,232,DEM,Hillary Rodham Clinton,2016-03-21,47.43297,TRUE
2016,National,33,231,REP,Donald Trump,2016-03-22,40.85947,TRUE
2016,National,33,231,DEM,Hillary Rodham Clinton,2016-03-22,48.24231,TRUE
2016,National,33,230,REP,Donald Trump,2016-03-23,40.78848,TRUE
2016,National,33,230,DEM,Hillary Rodham Clinton,2016-03-23,48.27962,TRUE
2016,National,33,229,REP,Donald Trump,2016-03-24,40.57411,TRUE
2016,National,33,229,DEM,Hillary Rodham Clinton,2016-03-24,48.77098,TRUE
2016,National,33,228,REP,Donald Trump,2016-03-25,40.45993,TRUE
2016,National,33,228,DEM,Hillary Rodham Clinton,2016-03-25,48.83969,TRUE
2016,National,32,227,REP,Donald Trump,2016-03-26,40.69456,TRUE
2016,National,32,227,DEM,Hillary Rodham Clinton,2016-03-26,48.82978,TRUE
2016,National,32,226,REP,Donald Trump,2016-03-27,40.55281,TRUE
2016,National,32,226,DEM,Hillary Rodham Clinton,2016-03-27,48.97817,TRUE
2016,National,32,225,REP,Donald Trump,2016-03-28,40.47565,TRUE
2016,National,32,225,DEM,Hillary Rodham Clinton,2016-03-28,49.04003,TRUE
2016,National,32,224,REP,Donald Trump,2016-03-29,40.50294,TRUE
2016,National,32,224,DEM,Hillary Rodham Clinton,2016-03-29,49.0243,TRUE
2016,National,32,223,REP,Donald Trump,2016-03-30,40.36588,TRUE
2016,National,32,223,DEM,Hillary Rodham Clinton,2016-03-30,49.1175,TRUE
2016,National,32,222,REP,Donald Trump,2016-03-31,40.71584,TRUE
2016,National,32,222,DEM,Hillary Rodham Clinton,2016-03-31,49.04155,TRUE
2016,National,32,221,REP,Donald Trump,2016-04-01,40.68798,TRUE
2016,National,32,221,DEM,Hillary Rodham Clinton,2016-04-01,49.0225,TRUE
2016,National,31,220,REP,Donald Trump,2016-04-02,40.36971,TRUE
2016,National,31,220,DEM,Hillary Rodham Clinton,2016-04-02,48.81142,TRUE
2016,National,31,219,REP,Donald Trump,2016-04-03,40.13267,TRUE
2016,National,31,219,DEM,Hillary Rodham Clinton,2016-04-03,48.32644,TRUE
2016,National,31,218,REP,Donald Trump,2016-04-04,40.04482,TRUE
2016,National,31,218,DEM,Hillary Rodham Clinton,2016-04-04,48.26836,TRUE
2016,National,31,217,REP,Donald Trump,2016-04-05,40.12203,TRUE
2016,National,31,217,DEM,Hillary Rodham Clinton,2016-04-05,48.16624,TRUE
2016,National,31,216,REP,Donald Trump,2016-04-06,40.04702,TRUE
2016,National,31,216,DEM,Hillary Rodham Clinton,2016-04-06,48.11096,TRUE
2016,National,31,215,REP,Donald Trump,2016-04-07,39.94262,TRUE
2016,National,31,215,DEM,Hillary Rodham Clinton,2016-04-07,48.1279,TRUE
2016,National,31,214,REP,Donald Trump,2016-04-08,39.87044,TRUE
2016,National,31,214,DEM,Hillary Rodham Clinton,2016-04-08,48.16901,TRUE
2016,National,30,213,REP,Donald Trump,2016-04-09,39.83619,TRUE
2016,National,30,213,DEM,Hillary Rodham Clinton,2016-04-09,48.1686,TRUE
2016,National,30,212,REP,Donald Trump,2016-04-10,39.59174,TRUE
2016,National,30,212,DEM,Hillary Rodham Clinton,2016-04-10,48.36018,TRUE
2016,National,30,211,REP,Donald Trump,2016-04-11,39.56086,TRUE
2016,National,30,211,DEM,Hillary Rodham Clinton,2016-04-11,48.54624,TRUE
2016,National,30,210,REP,Donald Trump,2016-04-12,40.00294,TRUE
2016,National,30,210,DEM,Hillary Rodham Clinton,2016-04-12,48.67182,TRUE
2016,National,30,209,REP,Donald Trump,2016-04-13,40.30104,TRUE
2016,National,30,209,DEM,Hillary Rodham Clinton,2016-04-13,48.67726,TRUE
