"","candidate_id","contribution_receipt_amount","contribution_state","election_year","party"
"1","P00000002",1190332,"AK",2008,"Democrat"
"2","P00000003",541452,"AK",2008,"Republican"
"3","P00000002",2994807,"AL",2008,"Democrat"
"4","P00000003",3059290,"AL",2008,"Republican"
"5","P00000002",2857062,"AR",2008,"Democrat"
"6","P00000003",2418661,"AR",2008,"Republican"
"7","P00000002",7709253,"AZ",2008,"Democrat"
"8","P00000003",10142665,"AZ",2008,"Republican"
"9","P00000002",133753963,"CA",2008,"Democrat"
"10","P00000003",43873131,"CA",2008,"Republican"
"11","P00000002",14071947,"CO",2008,"Democrat"
"12","P00000003",6120313,"CO",2008,"Republican"
"13","P00000002",17440203,"CT",2008,"Democrat"
"14","P00000003",7214294,"CT",2008,"Republican"
"15","P00000002",34303659,"DC",2008,"Democrat"
"16","P00000003",3169143,"DC",2008,"Republican"
"17","P00000002",2389384,"DE",2008,"Democrat"
"18","P00000003",569160,"DE",2008,"Republican"
"19","P00000002",32903132,"FL",2008,"Democrat"
"20","P00000003",26296615,"FL",2008,"Republican"
"21","P00000002",11791604,"GA",2008,"Democrat"
"22","P00000003",8649530,"GA",2008,"Republican"
"23","P00000002",3453023,"HI",2008,"Democrat"
"24","P00000003",656936,"HI",2008,"Republican"
"25","P00000002",3060056,"IA",2008,"Democrat"
"26","P00000003",1543784,"IA",2008,"Republican"
"27","P00000002",1079402,"ID",2008,"Democrat"
"28","P00000003",1490705,"ID",2008,"Republican"
"29","P00000002",43369224,"IL",2008,"Democrat"
"30","P00000003",11359094,"IL",2008,"Republican"
"31","P00000002",4662446,"IN",2008,"Democrat"
"32","P00000003",2770690,"IN",2008,"Republican"
"33","P00000002",2027002,"KS",2008,"Democrat"
"34","P00000003",2330999,"KS",2008,"Republican"
"35","P00000002",3618144,"KY",2008,"Democrat"
"36","P00000003",1950455,"KY",2008,"Republican"
"37","P00000002",2725599,"LA",2008,"Democrat"
"38","P00000003",3421733,"LA",2008,"Republican"
"39","P00000002",32488205,"MA",2008,"Democrat"
"40","P00000003",9130294,"MA",2008,"Republican"
"41","P00000002",26523973,"MD",2008,"Democrat"
"42","P00000003",5784658,"MD",2008,"Republican"
"43","P00000002",2671562,"ME",2008,"Democrat"
"44","P00000003",682170,"ME",2008,"Republican"
"45","P00000002",9491517,"MI",2008,"Democrat"
"46","P00000003",7786545,"MI",2008,"Republican"
"47","P00000002",7875337,"MN",2008,"Democrat"
"48","P00000003",3383434,"MN",2008,"Republican"
"49","P00000002",6698589,"MO",2008,"Democrat"
"50","P00000003",4864743,"MO",2008,"Republican"
