state,stateab,year,electors
Alabama,AL,1948,11
Alabama,AL,1952,11
Alabama,AL,1956,11
Alabama,AL,1960,11
Alabama,AL,1964,10
Alabama,AL,1968,10
Alabama,AL,1972,9
Alabama,AL,1976,9
Alabama,AL,1980,9
Alabama,AL,1984,9
Alabama,AL,1988,9
Alabama,AL,1992,9
Alabama,AL,1996,9
Alabama,AL,2000,9
Alabama,AL,2004,9
Alabama,AL,2008,9
Alabama,AL,2012,9
Alabama,AL,2016,9
Alabama,AL,2020,9
Alabama,AL,2024,9
Alaska,AK,1960,3
Alaska,AK,1964,3
Alaska,AK,1968,3
Alaska,AK,1972,3
Alaska,AK,1976,3
Alaska,AK,1980,3
Alaska,AK,1984,3
Alaska,AK,1988,3
Alaska,AK,1992,3
Alaska,AK,1996,3
Alaska,AK,2000,3
Alaska,AK,2004,3
Alaska,AK,2008,3
Alaska,AK,2012,3
Alaska,AK,2016,3
Alaska,AK,2020,3
Alaska,AK,2024,3
Arizona,AZ,1948,4
Arizona,AZ,1952,4
Arizona,AZ,1956,4
Arizona,AZ,1960,4
Arizona,AZ,1964,5
Arizona,AZ,1968,5
Arizona,AZ,1972,6
Arizona,AZ,1976,6
Arizona,AZ,1980,6
Arizona,AZ,1984,7
Arizona,AZ,1988,7
Arizona,AZ,1992,8
Arizona,AZ,1996,8
Arizona,AZ,2000,8
Arizona,AZ,2004,10
Arizona,AZ,2008,10
Arizona,AZ,2012,11
Arizona,AZ,2016,11
Arizona,AZ,2020,11
Arizona,AZ,2024,11
Arkansas,AR,1948,9
Arkansas,AR,1952,8
Arkansas,AR,1956,8
Arkansas,AR,1960,8
Arkansas,AR,1964,6
Arkansas,AR,1968,6
Arkansas,AR,1972,6
Arkansas,AR,1976,6
Arkansas,AR,1980,6
Arkansas,AR,1984,6
Arkansas,AR,1988,6
Arkansas,AR,1992,6
Arkansas,AR,1996,6
Arkansas,AR,2000,6
Arkansas,AR,2004,6
Arkansas,AR,2008,6
Arkansas,AR,2012,6
Arkansas,AR,2016,6
