"","pd_id","page_name","disclaimer","from_date","to_date","new_spend","num_of_new_ads"
"19886","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-01-26","2020-02-01",0,0
"19887","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-02-02","2020-02-08",0,0
"19888","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-02-09","2020-02-15",0,0
"19889","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-02-16","2020-02-22",0,0
"19890","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-02-23","2020-02-29",0,0
"19891","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-03-01","2020-03-07",0,0
"19892","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-03-08","2020-03-14",0,0
"19893","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-03-15","2020-03-21",0,0
"19894","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-03-22","2020-03-28",0,0
"19895","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-03-29","2020-04-04",0,0
"19896","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-04-05","2020-04-11",0,0
"19897","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-04-12","2020-04-18",0,0
"19898","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-04-19","2020-04-25",0,0
"19899","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-04-26","2020-05-02",0,0
"19900","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-05-03","2020-05-09",0,0
"19901","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-05-10","2020-05-16",0,0
"19902","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-05-17","2020-05-23",0,0
"19903","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-05-24","2020-05-30",0,0
"19904","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-05-31","2020-06-06",0,0
"19905","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-06-07","2020-06-13",0,0
"19906","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-06-14","2020-06-20",0,0
"19907","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-06-21","2020-06-27",0,0
"19908","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-06-28","2020-07-04",0,0
"19909","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-07-05","2020-07-11",0,0
"19910","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-07-12","2020-07-18",0,0
"19911","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-07-19","2020-07-25",0,0
"19912","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-07-26","2020-08-01",0,0
"19913","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-08-02","2020-08-08",0,0
"19914","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-08-09","2020-08-15",0,0
"19915","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-08-16","2020-08-22",0,0
"19916","pd-100381125205607-1","Biden for America 2020","BIDEN VICTORY FUND","2020-08-23","2020-08-29",0,0
