date,state,city,candidate,Event.Type,year,latitude,longitude
2016-07-25,VA,Roanoke,Trump / Pence,Town Hall,2016,37.270973,-79.9414313
2016-07-25,NC,Winston-Salem,Trump / Pence,Rally/Speech,2016,36.0998131,-80.2440518
2016-07-27,FL,Doral,Trump,Speech/Press Conference,2016,25.8184725,-80.35396791309786
2016-07-27,PA,Scranton,Trump / Pence,Rally/Speech,2016,41.4086874,-75.6621294
2016-07-27,WI,Waukesha,Pence,Rally/Speech,2016,43.0116784,-88.2314813
2016-07-27,OH,Toledo,Trump,Rally/Speech,2016,41.6529143,-83.5378173
2016-07-28,MI,Grand Rapids,Pence,Rally/Speech,2016,42.9632425,-85.6678639
2016-07-28,MI,Novi,Pence,Rally/Speech,2016,42.48059,-83.4754913
2016-07-28,IA,Cedar Rapids,Trump,Rally/Speech,2016,41.9758872,-91.6704053
2016-07-28,IA,Davenport,Trump,Rally/Speech,2016,41.5235808,-90.5770967
2016-07-29,PA,Philadelphia,Clinton / Kaine,Rally/Speech,2016,39.9527237,-75.1635262
2016-07-29,PA,Harrisburgh,Clinton / Kaine,Rally/Speech,2016,NA,NA
2016-07-29,PA,Hatfield,Clinton / Kaine,Rally/Speech,2016,40.2796371,-75.2995777
2016-07-29,OH,Lima,Pence,Rally/Speech,2016,40.741735,-84.1156539566922
2016-07-29,CO,Colorado Springs,Trump,Rally/Speech,2016,38.8339578,-104.825348
2016-07-29,CO,Denver,Trump,Rally/Speech,2016,39.7392364,-104.984862
2016-07-30,PA,Johnstown,Clinton / Kaine,Rally/Speech,2016,40.3267407,-78.9219698
2016-07-30,PA,Pittsburgh,Clinton / Kaine,Rally/Speech,2016,40.4416941,-79.9900861
2016-07-30,OH,Youngstown,Clinton / Kaine,Rally/Speech,2016,41.1035786,-80.6520161
2016-07-31,OH,Cleveland,Clinton / Kaine,Rally/Speech,2016,41.4996574,-81.6936772
2016-07-31,OH,Columbus,Clinton / Kaine,Rally/Speech,2016,39.9622601,-83.0007065
2016-08-01,NE-2,Omaha,Clinton,Rally/Speech,2016,NA,NA
2016-08-01,VA,Richmond,Kaine,Rally/Speech,2016,37.5385087,-77.43428
2016-08-01,NV,Carson City,Pence,Rally/Speech,2016,39.1698022,-119.7575628
2016-08-01,NV,Reno,Pence,Rally/Speech,2016,39.5261206,-119.8126581
2016-08-01,PA,Harrisburgh,Trump,Rally/Speech,2016,NA,NA
2016-08-01,OH,Columbus,Trump,Rally/Speech,2016,39.9622601,-83.0007065
2016-08-02,FL,Daytona Beach,Kaine,Rally/Speech,2016,29.2108147,-81.0228331
2016-08-02,VA,Ashburn,Trump,Rally/Speech,2016,39.0300191,-77.46964646557657
2016-08-02,AZ,Tuscon,Pence,Rally/Speech,2016,NA,NA
2016-08-02,AZ,Phoenix,Pence,Rally/Speech,2016,33.4484367,-112.074141
2016-08-03,NC,Greensboro,Kaine,Rally/Speech,2016,36.0726355,-79.7919754
2016-08-03,NC,High Point,Kaine,Rally/Speech,2016,35.9556924,-80.0053176
2016-08-03,CO,Commerce City,Clinton,Rally/Speech,2016,39.8083196,-104.9338675
2016-08-03,CO,Denver,Pence,Rally/Speech,2016,39.7392364,-104.984862
2016-08-03,CO,Colorado Springs,Pence,Rally/Speech,2016,38.8339578,-104.825348
2016-08-03,FL,Jacksonville,Trump,Rally/Speech,2016,30.3321838,-81.655651
