"","date","state","city","candidate","Event.Type","year"
"1",2016-07-25,"VA","Roanoke","Trump / Pence","Town Hall",2016
"2",2016-07-25,"NC","Winston-Salem","Trump / Pence","Rally/Speech",2016
"3",2016-07-27,"FL","Doral","Trump","Speech/Press Conference",2016
"4",2016-07-27,"PA","Scranton","Trump / Pence","Rally/Speech",2016
"5",2016-07-27,"WI","Waukesha","Pence","Rally/Speech",2016
"6",2016-07-27,"OH","Toledo","Trump","Rally/Speech",2016
"7",2016-07-28,"MI","Grand Rapids","Pence","Rally/Speech",2016
"8",2016-07-28,"MI","Novi","Pence","Rally/Speech",2016
"9",2016-07-28,"IA","Cedar Rapids","Trump","Rally/Speech",2016
"10",2016-07-28,"IA","Davenport","Trump","Rally/Speech",2016
"11",2016-07-29,"PA","Philadelphia","Clinton / Kaine","Rally/Speech",2016
"12",2016-07-29,"PA","Harrisburgh","Clinton / Kaine","Rally/Speech",2016
"13",2016-07-29,"PA","Hatfield","Clinton / Kaine","Rally/Speech",2016
"14",2016-07-29,"OH","Lima","Pence","Rally/Speech",2016
"15",2016-07-29,"CO","Colorado Springs","Trump","Rally/Speech",2016
"16",2016-07-29,"CO","Denver","Trump","Rally/Speech",2016
"17",2016-07-30,"PA","Johnstown","Clinton / Kaine","Rally/Speech",2016
"18",2016-07-30,"PA","Pittsburgh","Clinton / Kaine","Rally/Speech",2016
"19",2016-07-30,"OH","Youngstown","Clinton / Kaine","Rally/Speech",2016
"20",2016-07-31,"OH","Cleveland","Clinton / Kaine","Rally/Speech",2016
"21",2016-07-31,"OH","Columbus","Clinton / Kaine","Rally/Speech",2016
"22",2016-08-01,"NE-2","Omaha","Clinton","Rally/Speech",2016
"23",2016-08-01,"VA","Richmond","Kaine","Rally/Speech",2016
"24",2016-08-01,"NV","Carson City","Pence","Rally/Speech",2016
"25",2016-08-01,"NV","Reno","Pence","Rally/Speech",2016
"26",2016-08-01,"PA","Harrisburgh","Trump","Rally/Speech",2016
"27",2016-08-01,"OH","Columbus","Trump","Rally/Speech",2016
"28",2016-08-02,"FL","Daytona Beach","Kaine","Rally/Speech",2016
"29",2016-08-02,"VA","Ashburn","Trump","Rally/Speech",2016
"30",2016-08-02,"AZ","Tuscon","Pence","Rally/Speech",2016
"31",2016-08-02,"AZ","Phoenix","Pence","Rally/Speech",2016
"32",2016-08-03,"NC","Greensboro","Kaine","Rally/Speech",2016
"33",2016-08-03,"NC","High Point","Kaine","Rally/Speech",2016
"34",2016-08-03,"CO","Commerce City","Clinton","Rally/Speech",2016
"35",2016-08-03,"CO","Denver","Pence","Rally/Speech",2016
"36",2016-08-03,"CO","Colorado Springs","Pence","Rally/Speech",2016
"37",2016-08-03,"FL","Jacksonville","Trump","Rally/Speech",2016
"38",2016-08-03,"FL","Daytona Beach","Trump","Rally/Speech",2016
"39",2016-08-04,"NV","Las Vegas","Clinton","Rally/Speech",2016
"40",2016-08-04,"ME","Portland","Trump","Rally/Speech",2016
"41",2016-08-04,"VA","Virginia Beach","Pence","Rally/Speech",2016
"42",2016-08-04,"VA","Norfolk","Pence","Rally/Speech",2016
"43",2016-08-05,"MI","Grand Rapids","Kaine","Rally/Speech",2016
"44",2016-08-05,"WI","Milwaukee","Kaine","Rally/Speech",2016
"45",2016-08-05,"DC","Washington DC","Clinton","Speech",2016
"46",2016-08-05,"IA","Des Moines","Trump / Pence","Rally/Speech",2016
"47",2016-08-05,"WI","Green Bay","Trump / Pence","Rally/Speech",2016
"48",2016-08-06,"NH","Windham","Trump","Rally/Speech",2016
"49",2016-08-07,"WI","Milwaukee","Kaine","Meet The Press Interview",2016
"50",2016-08-08,"FL","St. Petersburg","Clinton","Rally/Speech",2016
"51",2016-08-08,"FL","Kissimmee","Clinton","Rally/Speech",2016
"52",2016-08-08,"MI","Detroit","Trump / Pence","Speech",2016
"53",2016-08-09,"FL","Miami","Clinton","Facility Tour",2016
"54",2016-08-09,"TX","Austin","Kaine","Speech to volunteers",2016
"55",2016-08-09,"NC","Wilmington","Trump","Rally/Speech",2016
"56",2016-08-09,"NC","Fayetteville","Trump","Rally/Speech",2016
"57",2016-08-09,"PA","Lancaster","Pence","Rally/Speech",2016
"58",2016-08-09,"PA","Pittsburgh","Pence","Rally/Speech",2016
"59",2016-08-10,"TX","Dallas/Fort Worth","Kaine","Fundraiser",2016
"60",2016-08-10,"IA","Des Moines","Clinton","Rally/Speech",2016
"61",2016-08-10,"VA","Abingdon","Trump","Rally/Speech",2016
"62",2016-08-10,"FL","Fort Lauderdale","Trump","Rally/Speech",2016
"63",2016-08-10,"OH","Dayton","Pence","Rally/Speech",2016
"64",2016-08-10,"OH","Cambridge","Pence","Rally/Speech",2016
"65",2016-08-11,"MI","Detroit","Clinton","Rally/Speech",2016
"66",2016-08-11,"LA","New Orleans","Kaine","Speech to Progressive National Baptist Convention",2016
"67",2016-08-11,"FL","Kissimmee","Trump","Rally/Speech",2016
"68",2016-08-11,"WI","La Crosse","Pence","Rally/Speech",2016
"69",2016-08-11,"WI","Milwaukee","Pence","Rally/Speech",2016
"70",2016-08-12,"PA","Erie","Trump","Rally/Speech",2016
"71",2016-08-12,"PA","Altoona","Trump","Rally/Speech",2016
"72",2016-08-13,"NH","Manchester","Kaine","Rally/Speech",2016
"73",2016-08-13,"CT","Fairfield","Trump","Rally/Speech",2016
"74",2016-08-15,"NC","Asheville","Kaine","Rally/Speech",2016
"75",2016-08-15,"PA","Scranton","Clinton","Rally/Speech",2016
"76",2016-08-15,"OH","Youngstown","Trump / Pence","Rally/Speech",2016
"77",2016-08-16,"PA","Philadelphia","Clinton","Rally/voter registration event",2016
"78",2016-08-16,"NC","Fayetteville","Kaine","Rally/Speech",2016
"79",2016-08-16,"WI","West Bend","Trump","Rally/Speech",2016
"80",2016-08-16,"WI","Milwaukee","Trump","Town Hall (Fox News)",2016
"81",2016-08-17,"OH","Cleveland","Clinton","Rally/Speech",2016
"82",2016-08-17,"IA","Cedar Rapids","Kaine","Rally/Speech",2016
"83",2016-08-17,"NV","Las Vegas","Pence","Rally/Speech",2016
"84",2016-08-18,"NC","Charlotte","Trump","Rally/Speech",2016
"85",2016-08-18,"NH","Manchester","Pence","Rally/Speech",2016
"86",2016-08-19,"MI","Dimondale","Trump","Rally/Speech",2016
"87",2016-08-20,"VA","Fredericksburg","Trump","Rally/Speech",2016
"88",2016-08-22,"CA","Los Angeles","Clinton","Jimmy Kimmel Live",2016
"89",2016-08-22,"NV","Las Vegas","Kaine","Rally/Speech",2016
"90",2016-08-22,"OH","Akron","Trump","Rally/Speech",2016
"91",2016-08-22,"IA","Cedar Rapids","Pence","Rally/Speech",2016
"92",2016-08-23,"CO","Lakewood","Kaine","Small Business Roundtable",2016
"93",2016-08-23,"TX","Austin","Trump","Rally/Speech",2016
"94",2016-08-23,"PA","King of Prussia","Pence","Facility Tour",2016
