"","year","state","state_po","county_name","county_fips","candidate","party","candidatevotes","totalvotes","POPESTIMATE2020","turnout"
"1",2020,"ALABAMA","AL","AUTAUGA",1001,"JOSEPH R BIDEN JR","DEMOCRAT",7503,27770,58915,0.471357039803106
"2",2020,"ALABAMA","AL","AUTAUGA",1001,"OTHER","OTHER",429,27770,58915,0.471357039803106
"3",2020,"ALABAMA","AL","AUTAUGA",1001,"DONALD J TRUMP","REPUBLICAN",19838,27770,58915,0.471357039803106
"4",2020,"ALABAMA","AL","BALDWIN",1003,"JOSEPH R BIDEN JR","DEMOCRAT",24578,109679,233227,0.470267164607871
"5",2020,"ALABAMA","AL","BALDWIN",1003,"OTHER","OTHER",1557,109679,233227,0.470267164607871
"6",2020,"ALABAMA","AL","BALDWIN",1003,"DONALD J TRUMP","REPUBLICAN",83544,109679,233227,0.470267164607871
"7",2020,"ALABAMA","AL","BARBOUR",1005,"JOSEPH R BIDEN JR","DEMOCRAT",4816,10518,24969,0.421242340502223
"8",2020,"ALABAMA","AL","BARBOUR",1005,"OTHER","OTHER",80,10518,24969,0.421242340502223
"9",2020,"ALABAMA","AL","BARBOUR",1005,"DONALD J TRUMP","REPUBLICAN",5622,10518,24969,0.421242340502223
"10",2020,"ALABAMA","AL","BIBB",1007,"JOSEPH R BIDEN JR","DEMOCRAT",1986,9595,22188,0.432440959076979
"11",2020,"ALABAMA","AL","BIBB",1007,"OTHER","OTHER",84,9595,22188,0.432440959076979
"12",2020,"ALABAMA","AL","BIBB",1007,"DONALD J TRUMP","REPUBLICAN",7525,9595,22188,0.432440959076979
"13",2020,"ALABAMA","AL","BLOUNT",1009,"JOSEPH R BIDEN JR","DEMOCRAT",2640,27588,59107,0.466746747424163
"14",2020,"ALABAMA","AL","BLOUNT",1009,"OTHER","OTHER",237,27588,59107,0.466746747424163
"15",2020,"ALABAMA","AL","BLOUNT",1009,"DONALD J TRUMP","REPUBLICAN",24711,27588,59107,0.466746747424163
"16",2020,"ALABAMA","AL","BULLOCK",1011,"JOSEPH R BIDEN JR","DEMOCRAT",3446,4613,10229,0.450972724606511
"17",2020,"ALABAMA","AL","BULLOCK",1011,"OTHER","OTHER",21,4613,10229,0.450972724606511
"18",2020,"ALABAMA","AL","BULLOCK",1011,"DONALD J TRUMP","REPUBLICAN",1146,4613,10229,0.450972724606511
"19",2020,"ALABAMA","AL","BUTLER",1013,"JOSEPH R BIDEN JR","DEMOCRAT",3965,9488,19025,0.498712220762155
"20",2020,"ALABAMA","AL","BUTLER",1013,"OTHER","OTHER",65,9488,19025,0.498712220762155
"21",2020,"ALABAMA","AL","BUTLER",1013,"DONALD J TRUMP","REPUBLICAN",5458,9488,19025,0.498712220762155
"22",2020,"ALABAMA","AL","CALHOUN",1015,"JOSEPH R BIDEN JR","DEMOCRAT",15216,50983,116243,0.438589850571647
"23",2020,"ALABAMA","AL","CALHOUN",1015,"OTHER","OTHER",666,50983,116243,0.438589850571647
"24",2020,"ALABAMA","AL","CALHOUN",1015,"DONALD J TRUMP","REPUBLICAN",35101,50983,116243,0.438589850571647
"25",2020,"ALABAMA","AL","CHAMBERS",1017,"JOSEPH R BIDEN JR","DEMOCRAT",6365,15284,34651,0.441083951401114
