"","YEAR","MONTH_NAME","EVENT_TYPE","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","EPISODE_ID","EVENT_ID","STATE","STATE_FIPS","CZ_TYPE","CZ_FIPS","CZ_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","MAGNITUDE"
"1",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552060,"GEORGIA",13,"Z",141,"COASTAL MCINTOSH",0,0,0,0,"","",NA
"2",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552058,"GEORGIA",13,"Z",139,"COASTAL LIBERTY",0,0,0,0,"","",NA
"3",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552056,"GEORGIA",13,"Z",119,"COASTAL CHATHAM",0,0,0,0,"","",NA
"4",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552057,"GEORGIA",13,"Z",138,"INLAND LIBERTY",0,0,0,0,"","",NA
"5",1996,"July","Hurricane (Typhoon)",199607,12,100,199607,12,1100,2037282,5552048,"SOUTH CAROLINA",45,"Z",45,"BERKELEY",0,0,0,0,"","",35
"6",1996,"July","Hurricane (Typhoon)",199607,12,100,199607,12,900,2037282,5552049,"SOUTH CAROLINA",45,"Z",47,"JASPER",0,0,0,0,"","",30
"7",1996,"July","Hurricane (Typhoon)",199607,12,100,199607,12,900,2037282,5552050,"SOUTH CAROLINA",45,"Z",48,"BEAUFORT",0,0,0,0,"","",30
"8",1996,"July","Hurricane (Typhoon)",199607,12,100,199607,12,900,2037282,5552051,"SOUTH CAROLINA",45,"Z",49,"SOUTHERN COLLETON",0,0,0,0,"","",35
"9",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552059,"GEORGIA",13,"Z",140,"INLAND MCINTOSH",0,0,0,0,"","",NA
"10",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552054,"GEORGIA",13,"Z",117,"COASTAL BRYAN",0,0,0,0,"","",NA
"11",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552055,"GEORGIA",13,"Z",118,"INLAND CHATHAM",0,0,0,0,"","",NA
"12",1996,"July","Hurricane (Typhoon)",199607,12,100,199607,12,1100,2037282,5552047,"SOUTH CAROLINA",45,"Z",44,"DORCHESTER",0,0,0,0,"","",30
"13",1996,"July","Hurricane (Typhoon)",199607,12,300,199607,12,1100,2037282,5552052,"SOUTH CAROLINA",45,"Z",50,"CHARLESTON",0,0,0,0,"","",50
"14",1996,"July","Hurricane (Typhoon)",199607,11,2200,199607,12,800,2037283,5552053,"GEORGIA",13,"Z",116,"INLAND BRYAN",0,0,0,0,"","",NA
"15",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580397,"NORTH CAROLINA",37,"Z",91,"LENOIR",0,0,0,0,".6M","15M",NA
"16",1996,"July","Hurricane (Typhoon)",199607,12,1700,199607,13,400,2056604,5583533,"NORTH CAROLINA",37,"Z",30,"BERTIE",0,0,0,0,"","",NA
"17",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580425,"NORTH CAROLINA",37,"Z",91,"LENOIR",0,0,0,0,"5M","",NA
"18",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580429,"NORTH CAROLINA",37,"Z",95,"CARTERET",0,0,0,0,".2B","",NA
"19",1996,"September","Hurricane (Typhoon)",199609,5,1800,199609,6,1100,2056655,5583700,"NORTH CAROLINA",37,"Z",14,"GATES",0,0,0,0,"","",NA
"20",1996,"September","Hurricane (Typhoon)",199609,6,100,199609,6,1500,2056654,5583694,"MARYLAND",24,"Z",22,"WICOMICO",0,0,0,0,"","",NA
"21",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580062,"NORTH CAROLINA",37,"Z",85,"SCOTLAND",0,0,0,0,"","",NA
"22",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578714,"MAINE",23,"Z",26,"LINCOLN",0,0,0,0,"","",NA
"23",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580049,"NORTH CAROLINA",37,"Z",39,"RANDOLPH",0,0,0,0,"","",NA
"24",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580426,"NORTH CAROLINA",37,"Z",92,"JONES",0,0,0,0,"5M","",NA
"25",1996,"September","Hurricane (Typhoon)",199609,6,100,199609,6,1500,2056654,5583693,"MARYLAND",24,"Z",21,"DORCHESTER",0,0,0,0,"","",NA
"26",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578715,"MAINE",23,"Z",27,"KNOX",0,0,0,0,"","",NA
"27",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568580,"NORTH CAROLINA",37,"Z",73,"STANLY",0,0,0,0,"","",NA
"28",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580431,"NORTH CAROLINA",37,"Z",103,"EASTERN DARE",0,0,0,0,"","",NA
"29",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568581,"NORTH CAROLINA",37,"Z",74,"MONTGOMERY",0,0,0,0,"","",NA
"30",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580048,"NORTH CAROLINA",37,"Z",38,"DAVIDSON",0,0,0,0,"","",NA
"31",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568562,"NORTH CAROLINA",37,"Z",8,"GRANVILLE",0,0,0,0,"","",NA
"32",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568563,"NORTH CAROLINA",37,"Z",9,"VANCE",0,0,0,0,"","",NA
"33",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578711,"MAINE",23,"Z",23,"COASTAL YORK",0,0,0,0,"","",NA
"34",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578717,"MAINE",23,"Z",29,"COASTAL HANCOCK",2,0,0,0,"","",NA
"35",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580061,"NORTH CAROLINA",37,"Z",84,"RICHMOND",0,0,0,0,"","",NA
"36",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578716,"MAINE",23,"Z",28,"COASTAL WALDO",0,0,0,0,"","",NA
"37",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580054,"NORTH CAROLINA",37,"Z",73,"STANLY",0,0,0,0,"","",NA
"38",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5579772,"NORTH CAROLINA",37,"Z",79,"GREENE",0,0,0,0,"","12.5M",NA
"39",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580402,"NORTH CAROLINA",37,"Z",98,"ONSLOW",10,0,0,0,"73M","30M",NA
"40",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580427,"NORTH CAROLINA",37,"Z",93,"CRAVEN",0,0,0,0,"10M","",NA
"41",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580418,"NORTH CAROLINA",37,"Z",45,"WASHINGTON",0,0,0,0,"50K","",NA
"42",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580423,"NORTH CAROLINA",37,"Z",81,"WESTERN HYDE",0,0,0,0,"50K","",NA
"43",1996,"September","Hurricane (Typhoon)",199609,6,100,199609,6,1500,2056654,5583695,"MARYLAND",24,"Z",23,"SOMERSET",0,0,0,0,"","",NA
"44",1996,"July","Hurricane (Typhoon)",199607,12,1700,199607,13,400,2056604,5583531,"NORTH CAROLINA",37,"Z",16,"CAMDEN",0,0,0,0,"","",NA
"45",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578712,"MAINE",23,"Z",24,"COASTAL CUMBERLAND",0,0,0,0,"","",NA
"46",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578713,"MAINE",23,"Z",25,"SAGADAHOC",0,0,0,0,"","",NA
"47",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580403,"NORTH CAROLINA",37,"Z",103,"EASTERN DARE",0,0,1,0,"50K","",NA
"48",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580398,"NORTH CAROLINA",37,"Z",92,"JONES",0,0,0,0,"1.25M","18.9M",NA
"49",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580037,"NORTH CAROLINA",37,"Z",9,"VANCE",0,0,0,0,"","",NA
"50",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580396,"NORTH CAROLINA",37,"Z",90,"DUPLIN",0,0,0,0,".5M","14M",NA
"51",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568582,"NORTH CAROLINA",37,"Z",75,"MOORE",0,0,0,0,"","",NA
"52",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580064,"NORTH CAROLINA",37,"Z",88,"CUMBERLAND",0,0,0,0,"","",NA
"53",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580051,"NORTH CAROLINA",37,"Z",41,"WAKE",0,0,3,0,"","",NA
"54",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580046,"NORTH CAROLINA",37,"Z",27,"NASH",0,0,0,0,"","",NA
"55",1996,"September","Hurricane (Typhoon)",199609,5,1000,199609,5,2300,2054646,5578508,"SOUTH CAROLINA",45,"Z",34,"HORRY",0,0,1,0,"1M","19.8M",67
"56",1996,"September","Hurricane (Typhoon)",199609,5,1100,199609,6,100,2054647,5578509,"NORTH CAROLINA",37,"Z",101,"NEW HANOVER",0,0,0,0,".2B","1M",95
"57",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580040,"NORTH CAROLINA",37,"Z",21,"FORSYTH",0,0,0,0,"","",NA
"58",1996,"September","Hurricane (Typhoon)",199609,5,1100,199609,6,100,2054665,5578528,"NORTH CAROLINA",37,"Z",100,"BRUNSWICK",0,0,0,0,"5M","2M",95
"59",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580050,"NORTH CAROLINA",37,"Z",40,"CHATHAM",0,0,0,0,"","",NA
"60",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580047,"NORTH CAROLINA",37,"Z",28,"EDGECOMBE",0,0,0,0,"","",NA
"61",1996,"September","Hurricane (Typhoon)",199609,5,1200,199609,6,200,2054648,5578510,"NORTH CAROLINA",37,"Z",97,"PENDER",0,0,2,0,".18B","46M",95
"62",1996,"September","Hurricane (Typhoon)",199609,5,1800,199609,6,1100,2056655,5583706,"NORTH CAROLINA",37,"Z",32,"PERQUIMANS",0,0,0,0,"","",NA
"63",1996,"September","Hurricane (Typhoon)",199609,5,1800,199609,6,1100,2056655,5583707,"NORTH CAROLINA",37,"Z",102,"EASTERN CURRITUCK",0,0,0,0,"1M","",NA
"64",1996,"July","Hurricane (Typhoon)",199607,10,900,199607,13,1600,2039215,5561826,"FLORIDA",12,"Z",68,"COASTAL PALM BEACH",0,0,0,0,"","",NA
"65",1996,"July","Hurricane (Typhoon)",199607,10,900,199607,13,1600,2039216,5561827,"FLORIDA",12,"Z",72,"COASTAL BROWARD",0,0,0,0,"","",NA
"66",1996,"July","Hurricane (Typhoon)",199607,10,900,199607,13,1600,2039217,5561828,"FLORIDA",12,"Z",74,"METROPOLITAN MIAMI-DADE",0,0,2,0,"","",NA
"67",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568587,"NORTH CAROLINA",37,"Z",84,"RICHMOND",0,0,0,0,"","",NA
"68",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5580399,"NORTH CAROLINA",37,"Z",93,"CRAVEN",0,0,0,0,"12M","16M",NA
"69",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5579773,"NORTH CAROLINA",37,"Z",80,"BEAUFORT",0,0,0,0,".25M","6M",NA
"70",1996,"July","Hurricane (Typhoon)",199607,12,1000,199607,13,600,2054534,5579774,"NORTH CAROLINA",37,"Z",81,"WESTERN HYDE",0,0,0,0,".5M","2.5M",NA
"71",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568588,"NORTH CAROLINA",37,"Z",85,"SCOTLAND",0,0,0,0,"","",NA
"72",1996,"September","Hurricane (Typhoon)",199609,2,600,199609,2,2300,2055926,5578718,"MAINE",23,"Z",30,"COASTAL WASHINGTON",0,0,0,0,"","",NA
"73",1996,"September","Hurricane (Typhoon)",199609,2,300,199609,2,1800,2055929,5575326,"NEW HAMPSHIRE",33,"Z",14,"COASTAL ROCKINGHAM",0,0,0,0,"","",NA
"74",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580056,"NORTH CAROLINA",37,"Z",75,"MOORE",0,0,0,0,"","",NA
"75",1996,"September","Hurricane (Typhoon)",199609,5,1800,199609,6,1100,2056655,5583701,"NORTH CAROLINA",37,"Z",15,"PASQUOTANK",0,0,0,0,"","",NA
"76",1996,"September","Hurricane (Typhoon)",199609,5,2000,199609,6,1400,2056653,5583691,"VIRGINIA",51,"Z",73,"KING AND QUEEN",0,0,0,0,"","",NA
"77",1996,"September","Hurricane (Typhoon)",199609,5,2000,199609,6,1400,2056653,5583692,"VIRGINIA",51,"Z",75,"WESTMORELAND",0,0,0,0,"","",NA
"78",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568574,"NORTH CAROLINA",37,"Z",38,"DAVIDSON",0,0,0,0,"","",NA
"79",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568570,"NORTH CAROLINA",37,"Z",25,"DURHAM",0,0,0,0,"","",NA
"80",1996,"September","Hurricane (Typhoon)",199609,5,1000,199609,5,2200,2054645,5578507,"SOUTH CAROLINA",45,"Z",46,"GEORGETOWN",0,0,0,0,"","",60
"81",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580055,"NORTH CAROLINA",37,"Z",74,"MONTGOMERY",0,0,0,0,"","",NA
"82",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580422,"NORTH CAROLINA",37,"Z",80,"BEAUFORT",0,0,0,0,"10M","",NA
"83",1996,"September","Hurricane (Typhoon)",199609,5,1800,199609,6,1100,2056655,5583699,"NORTH CAROLINA",37,"Z",13,"HERTFORD",0,0,0,0,"","",NA
"84",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568572,"NORTH CAROLINA",37,"Z",27,"NASH",0,0,0,0,"","",NA
"85",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568575,"NORTH CAROLINA",37,"Z",43,"WILSON",0,0,0,0,"","",NA
"86",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568567,"NORTH CAROLINA",37,"Z",22,"GUILFORD",0,0,0,0,"","",NA
"87",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568568,"NORTH CAROLINA",37,"Z",23,"ALAMANCE",0,0,0,0,"","",NA
"88",1996,"July","Hurricane (Typhoon)",199607,12,800,199607,12,2300,2045671,5568576,"NORTH CAROLINA",37,"Z",39,"RANDOLPH",0,0,0,0,"","",NA
"89",1996,"September","Hurricane (Typhoon)",199609,4,1800,199609,6,1700,2054545,5580432,"NORTH CAROLINA",37,"Z",104,"EASTERN HYDE",0,0,0,0,"","",NA
"90",1996,"September","Hurricane (Typhoon)",199609,5,1700,199609,6,500,2053170,5580038,"NORTH CAROLINA",37,"Z",10,"WARREN",0,0,0,0,"","",NA
