"","CASE","CITATION","DATE","YEAR","DECADE","DECISION","DECISION2","EFFECT","STAT NAME","STAT CITE","PL #","S-DATE","TIME TO DECISION","CONGRESS","AREA1","AREA2","LNDMRK","LNDDTL","ATT GEN","CERT","REVERSD","CRS","GVT PRTY","DISSENT","H-CT","caseId.SCDB","JRC caseID"
"1","United States v. Sullivan","332 U.S. 689","17551",1948,1940,0,0,"upheld","Federal Food, Drug, and Cosmetic Act","52 Stat. 1042","75-717","14056",114,75,"5",NA,1,1,1,1,1,0,1,3,0,"1947.0260000000001","1948.01"
"2","Woods v. Cloyd W. Miller Co.","333 U.S. 138","17579",1948,1940,0,0,"upheld","Housing and Rent Act of 1947","61 Stat. 196","80-129","17348",8,80,"5",4,0,0,1,0,1,0,1,0,1,"1947.04","1948.02"
"3","United States v. Baltimore & O. R. Co.","333 U.S. 169","17600",1948,1940,0,0,"upheld","Interstate Commerce Act","24 Stat. 379",NA,"2/4/1887",733,49,"4",NA,1,1,1,0,1,0,1,1,0,"1947.0440000000001","1948.03"
"4","Donaldson v. Read Magazine, Inc.","333 U.S. 178","17600",1948,1940,0,0,"upheld","28 Stat. 964","28 Stat. 964",NA,"3/2/1895",636,53,"2",NA,0,0,1,1,1,0,1,2,0,"1947.0450000000001","1948.04"
"5","Lichter v. United States","334 U.S. 742","17698",1948,1940,0,0,"upheld","Sixth Supplemental National Defense Appropriation Act of 1942","56 Stat. 245","77-528","15459",74,77,"4",5,0,0,1,1,0,0,1,2,0,"1947.1079999999999","1948.05"
"6","Shapiro v. United States","335 U.S. 1","17705",1948,1940,0,0,"upheld","Emergency Price Control Act of 1942","56 Stat. 30","77-421","15371",77,77,"1",NA,1,0,1,1,0,0,1,4,0,"1947.11","1948.06"
"7","United States v. Congress of Industrial Organizations","335 U.S. 106","17705",1948,1940,1,1,"struck down as applied","Taft-Hartley Act","61 Stat. 159","80-101","17341",12,80,"2",NA,1,1,1,0,0,0,1,0,1,"1947.1130000000001","1948.07"
"8","Ludecke v. Watkins","335 U.S. 160","17705",1948,1940,0,0,"upheld","1 Stat. 577","1 Stat. 577","5-53","7/6/1798",1811,5,"1",NA,1,1,1,1,0,0,1,4,1,"1947.114","1948.08"
"9","Vermilya-Brown Co. v. Connell","335 U.S. 377","17873",1948,1940,0,0,"upheld","Fair Labor Standards Act of 1938","52 Stat. 1060","75-718","14056",126,75,"4",NA,1,1,1,1,0,0,0,4,0,"1948.01","1948.09"
"10","NLRB v. Stowe Spinning Co.","336 U.S. 226","17957",1949,1940,0,0,"upheld","National Labor Relations Act","49 Stat. 449","74-198","12970",163,74,"4",NA,1,1,1,1,1,0,1,3,0,"1948.0419999999999","1949.01"
"11","FCC v. WJR, Goodwill Station","337 U.S. 265","18055",1949,1940,0,0,"upheld","Communications Act of 1934","48 Stat. 1081","73-416","12589",180,73,"1",NA,1,0,1,1,1,0,1,0,0,"1948.0889999999999","1949.02"
"12","United States v. Cors","337 U.S. 325","18062",1949,1940,0,0,"upheld","Merchant Marine Act of 1936","49 Stat. 2015","74-835","13330",156,74,"4",NA,1,0,1,1,1,0,1,4,0,"1948.0920000000001","1949.03"
"13","National Mutual Insurance Co. v. Tidewater Transfer Co.","337 U.S. 582","18069",1949,1940,0,0,"upheld","54 Stat. 143","54 Stat. 143","76-464","14721",110,76,"6",NA,0,0,1,1,1,0,0,4,0,"1948.1030000000001","1949.04"
"14","Graham v. Brotherhood of Locomotive Firemen & Enginemen","338 U.S. 232","18209",1949,1940,0,0,"upheld","54 Stat. 143","54 Stat. 143","76-464","14721",115,76,"6",NA,0,0,1,1,1,0,0,0,0,"1949.0029999999999","1949.05"
"15","Wilmette Park District v. Campbell","338 U.S. 411","18244",1949,1940,0,0,"upheld","Revenue Act of 1932","47 Stat. 271","72-154","11846",210,72,"5",NA,0,0,1,1,0,0,1,0,0,"1949.0219999999999","1949.06"
"16","United States ex rel. Knauff v. Shaughnessy","338 U.S. 537","18279",1950,1950,0,0,"upheld","Alien Visa Act","55 Stat. 252","77-114","15148",103,77,"6",NA,0,0,1,1,0,0,1,3,0,"1949.0329999999999","1950.01"
"17","Secretary of Agriculture v. Central Roig Refining Co.","338 U.S. 604","18300",1950,1950,0,0,"upheld","Sugar Act of 1948","61 Stat. 922","80-388","17387",30,80,"4",5,0,0,1,1,1,0,1,1,1,"1949.038","1950.02"
"18","United States v. Morton Salt Co.","338 U.S. 632","18300",1950,1950,0,0,"upheld","Federal Trade Commission Act","38 Stat. 717","63-203","5383",425,63,"1",2,1,1,1,1,1,0,1,0,0,"1949.04","1950.03"
"19","Wong Yang Sung v. McGrath","339 U.S. 33","18314",1950,1950,1,1,"struck down as applied","Immigration Act of 1917","39 Stat. 885","64-301","6246",396,64,"1",NA,1,0,1,1,1,0,1,1,0,"1949.048","1950.04"
"20","American Communications Association v. Douds","339 U.S. 382","18391",1950,1950,0,0,"upheld","Taft-Hartley Act","61 Stat. 146","80-101","17341",35,80,"2",4,1,1,1,0,0,0,1,3,1,"1949.07","1950.05"
