"","dateDecision","precedentAlteration","petitioner","respondent","issue","issueArea"
"1","11/18/1946",1,198,172,80180,8
"2","1/6/1947",1,177,172,80180,8
"3","2/17/1947",1,123,233,90460,9
"4","6/7/1948",1,253,168,40060,4
"5","1/3/1949",1,249,151,70030,7
"6","1/17/1949",1,369,240,120010,12
"7","2/7/1949",1,19,116,80100,8
"8","3/7/1949",1,4,198,100060,10
"9","6/27/1949",1,234,145,80070,8
"10","2/20/1950",1,27,100,10050,1
"11","4/3/1950",1,215,28,90040,9
"12","2/4/1952",1,25,19,80100,8
"13","5/26/1952",1,156,19,30010,3
"14","5/17/1954",1,224,21,20050,2
"15","10/14/1954",1,111,20,60040,6
"16","6/6/1955",1,145,120,100130,10
"17","6/10/1957",1,19,253,20240,2
"18","6/24/1957",1,168,253,40060,4
"19","12/15/1958",1,126,27,10380,1
"20","2/29/1960",1,27,19,20010,2
"21","6/27/1960",1,100,27,10050,1
"22","5/15/1961",1,100,27,10490,1
"23","6/19/1961",1,100,28,10050,1
"24","3/26/1962",1,251,19,20090,2
"25","12/10/1962",1,145,151,100020,10
"26","1/21/1963",1,249,120,100020,10
"27","3/18/1963",1,100,28,10120,1
"28","3/18/1963",1,211,251,20090,2
"29","3/18/1963",1,28,126,10020,1
"30","4/22/1963",1,28,135,80110,8
"31","2/17/1964",1,251,19,20090,2
"32","5/18/1964",1,106,328,20280,2
"33","6/15/1964",1,254,28,10090,1
"34","6/15/1964",1,254,4,10110,1
"35","6/22/1964",1,100,28,10010,1
"36","6/22/1964",1,100,28,10120,1
"37","12/7/1964",1,100,28,20040,2
"38","4/5/1965",1,100,28,10270,1
"39","6/7/1965",1,27,249,30060,3
"40","11/22/1965",1,158,19,90340,9
"41","12/6/1965",1,254,27,10080,1
"42","3/24/1966",1,251,4,20010,2
"43","6/13/1966",1,100,28,10100,1
"44","1/16/1967",1,111,6,10090,1
"45","1/23/1967",1,8,26,30110,3
"46","5/29/1967",1,106,328,20280,2
"47","5/29/1967",1,28,100,10050,1
"48","6/5/1967",1,195,6,10050,1
"49","6/12/1967",1,100,28,10050,1
"50","12/18/1967",1,100,27,10050,1
"51","1/29/1968",1,240,27,10090,1
"52","5/20/1968",1,28,215,10020,1
"53","5/20/1968",1,100,27,10270,1
"54","5/20/1968",1,100,28,10580,1
"55","5/20/1968",1,100,28,10020,1
"56","6/17/1968",1,100,28,10050,1
"57","6/17/1968",1,222,139,20040,2
"58","5/5/1969",1,211,4,20030,2
"59","6/9/1969",1,218,28,30010,3
"60","6/16/1969",1,103,172,80180,8
"61","6/23/1969",1,110,28,10050,1
"62","6/23/1969",1,100,28,10170,1
"63","4/6/1970",1,126,28,10170,1
"64","6/1/1970",1,151,249,70010,7
"65","6/15/1970",1,126,28,10170,1
"66","6/15/1970",1,145,116,80050,8
"67","6/22/1970",1,100,28,10090,1
"68","5/3/1971",1,184,172,80180,8
"69","6/1/1971",1,177,28,80030,8
"70","6/7/1971",1,222,214,20400,2
