statenu,state,year,InitialCOVI,InitialRank,FinalCOVI,FinalRank,COVIDCOVI,COVIDRank,COVI2022_IRT,COVI2022_IRTrank
1,AL,1996,-0.171,22,-0.399,11,,,,
1,AL,2000,0.102,23,0.000,29,,,,
1,AL,2004,0.295,33,0.577,38,,,,
1,AL,2008,0.084,20,0.247,28,,,,
1,AL,2012,0.403,34,0.222,29,,,,
1,AL,2016,0.617,39,0.616,43,,,,
1,AL,2020,0.456,39,0.776,39,0.7561007,39,,
1,AL,2022,1.278,45,1.300,44,,,1.444,49
1,AL,2024,1.46,47,,,,,,
2,AK,1996,-0.221,20,0.664,42,,,,
2,AK,2000,-0.269,14,0.572,40,,,,
2,AK,2004,0.072,22,0.361,33,,,,
2,AK,2008,0.315,31,0.291,30,,,,
2,AK,2012,0.311,29,0.181,27,,,,
2,AK,2016,-0.045,23,-0.152,19,,,,
2,AK,2020,0.342,36,-0.826,9,-0.8417452,10,,
2,AK,2022,-0.410,16,-0.099,22,,,-0.245,17
2,AK,2024,-0.17,19,,,,,,
3,AZ,1996,0.061,24,0.821,48,,,,
3,AZ,2000,0.065,22,-0.256,15,,,,
3,AZ,2004,-0.121,17,-0.263,12,,,,
3,AZ,2008,0.305,29,0.506,38,,,,
3,AZ,2012,0.399,32,0.453,38,,,,
3,AZ,2016,0.536,36,0.256,29,,,,
3,AZ,2020,0.206,30,0.446,33,0.3883481,28,,
3,AZ,2022,0.156,26,0.340,29,,,-0.303,16
3,AZ,2024,0.31,25,,,,,,
4,AR,1996,0.424,31,0.346,27,,,,
4,AR,2000,0.657,38,1.377,48,,,,
4,AR,2004,0.237,29,0.639,40,,,,
4,AR,2008,0.730,46,0.825,47,,,,
4,AR,2012,0.760,48,0.818,47,,,,
4,AR,2016,0.510,34,0.555,37,,,,
4,AR,2020,0.537,42,0.798,40,0.7903951,40,,
4,AR,2022,1.367,48,1.622,49,,,1.352,48
4,AR,2024,1.35,44,,,,,,
5,CA,1996,0.473,32,0.530,38,,,,
5,CA,2000,0.427,32,0.023,30,,,,
