state_abbv,state,year,index,rank,indicator_count
AL,Alabama,2010,.42450583,49,13
AL,Alabama,2014,.44948521,51,13
AL,Alabama,2018,.73155963,34,16
AL,Alabama,2022,.76645088,38,16
AK,Alaska,2010,.65454882,20,15
AK,Alaska,2014,.66456532,29,16
AK,Alaska,2018,.79992074,16,16
AK,Alaska,2022,.82333273,19,17
AZ,Arizona,2010,.58824599,37,14
AZ,Arizona,2014,.64255381,34,16
AZ,Arizona,2018,.7717731,22,15
AZ,Arizona,2022,.8156839,24,17
AR,Arkansas,2010,.60462713,35,15
AR,Arkansas,2014,.58627325,45,15
AR,Arkansas,2018,.48106793,51,11
AR,Arkansas,2022,.67451221,50,16
CA,California,2010,.44335532,48,14
CA,California,2014,.53868324,50,16
CA,California,2018,.61831194,50,15
CA,California,2022,.72179711,45,15
CO,Colorado,2010,.75401258,3,15
CO,Colorado,2014,.8046248,5,16
CO,Colorado,2018,.86021674,4,15
CO,Colorado,2022,.87415677,3,18
CT,Connecticut,2010,.72426713,7,14
CT,Connecticut,2014,.80219913,6,15
CT,Connecticut,2018,.81297946,12,14
CT,Connecticut,2022,.81253672,25,16
DE,Delaware,2010,.74654138,4,15
DE,Delaware,2014,.79827696,7,16
DE,Delaware,2018,.83030337,10,16
DE,Delaware,2022,.80735439,26,17
DC,District of Columbia,2010,.55420798,43,15
DC,District of Columbia,2014,.60918069,40,16
DC,District of Columbia,2018,.71246827,40,16
DC,District of Columbia,2022,.78644758,36,17
FL,Florida,2010,.63454771,26,14
FL,Florida,2014,.66938585,28,16
FL,Florida,2018,.76199299,24,16
FL,Florida,2022,.78772485,35,17
GA,Georgia,2010,.63205439,29,15
GA,Georgia,2014,.67282557,27,16
GA,Georgia,2018,.67916298,45,16
GA,Georgia,2022,.84579575,11,18
HI,Hawaii,2010,.57678401,41,14
HI,Hawaii,2014,.58420563,47,15
HI,Hawaii,2018,.68508458,44,14
HI,Hawaii,2022,.79192162,33,15
ID,Idaho,2010,.49164781,47,12
ID,Idaho,2014,.56669587,49,13
ID,Idaho,2018,.71962589,38,15
ID,Idaho,2022,.79195309,32,14
IL,Illinois,2010,.58166462,39,14
IL,Illinois,2014,.70604646,21,13
IL,Illinois,2018,.77583957,21,13
IL,Illinois,2022,.7535463,39,10
IN,Indiana,2010,.59985024,36,14
IN,Indiana,2014,.65265262,31,14
IN,Indiana,2018,.75983745,25,15
IN,Indiana,2022,.8229534,20,16
IA,Iowa,2010,.69081557,13,15
IA,Iowa,2014,.70557702,22,16
IA,Iowa,2018,.85969853,5,16
IA,Iowa,2022,.8571502,7,17
KS,Kansas,2010,.61515981,31,15
KS,Kansas,2014,.62864125,37,15
KS,Kansas,2018,.69546676,43,15
KS,Kansas,2022,.80162656,28,15
KY,Kentucky,2010,.63359761,27,15
KY,Kentucky,2014,.5984171,43,15
KY,Kentucky,2018,.71056938,41,16
KY,Kentucky,2022,.76856601,37,17
LA,Louisiana,2010,.65125424,23,15
LA,Louisiana,2014,.65012944,32,16
LA,Louisiana,2018,.73325861,32,16
LA,Louisiana,2022,.71695572,48,16
ME,Maine,2010,.73762941,6,15
ME,Maine,2014,.74703568,13,16
ME,Maine,2018,.74486017,30,16
ME,Maine,2022,.79482758,31,17
MD,Maryland,2010,.66507524,18,15
MD,Maryland,2014,.77128452,9,16
MD,Maryland,2018,.80106002,15,16
MD,Maryland,2022,.82359076,18,17
MA,Massachusetts,2010,.6139819,32,14
MA,Massachusetts,2014,.68558973,25,16
MA,Massachusetts,2018,.82796717,11,16
MA,Massachusetts,2022,.85548002,9,17
MI,Michigan,2010,.71096283,10,15
MI,Michigan,2014,.7559588,11,16
MI,Michigan,2018,.74270397,31,16
MI,Michigan,2022,.87548387,2,17
MN,Minnesota,2010,.78384817,2,13
MN,Minnesota,2014,.8335619,2,14
