state_abbv,state,year,index,rank,indicator_count
AL,Alabama,2008,.41876248,49,11
AL,Alabama,2012,.56043583,48,12
AL,Alabama,2016,.66907364,45,14
AL,Alabama,2020,.75392175,41,16
AK,Alaska,2008,.67913234,16,17
AK,Alaska,2012,.70320153,21,17
AK,Alaska,2016,.79059684,17,17
AK,Alaska,2020,.83438468,16,18
AZ,Arizona,2008,.57657933,38,16
AZ,Arizona,2012,.63967407,36,16
AZ,Arizona,2016,.71349013,35,16
AZ,Arizona,2020,.83976346,14,18
AR,Arkansas,2008,.53575194,46,12
AR,Arkansas,2012,.60570192,44,16
AR,Arkansas,2016,.62741393,49,16
AR,Arkansas,2020,.70805323,50,15
CA,California,2008,.48527527,48,16
CA,California,2012,.54094398,49,16
CA,California,2016,.64645195,46,16
CA,California,2020,.73122829,46,14
CO,Colorado,2008,.69098556,11,16
CO,Colorado,2012,.79214096,4,17
CO,Colorado,2016,.77975988,19,16
CO,Colorado,2020,.86502159,9,18
CT,Connecticut,2008,.66805243,20,13
CT,Connecticut,2012,.73852676,10,15
CT,Connecticut,2016,.80437845,11,16
CT,Connecticut,2020,.82646888,20,17
DE,Delaware,2008,.7028693,9,17
DE,Delaware,2012,.74097055,9,17
DE,Delaware,2016,.84927946,3,17
DE,Delaware,2020,.8142606,27,18
DC,District of Columbia,2008,.38412386,51,14
DC,District of Columbia,2012,.62381649,41,17
DC,District of Columbia,2016,.82141232,6,17
DC,District of Columbia,2020,.85348243,11,17
FL,Florida,2008,.68169224,14,17
FL,Florida,2012,.69035888,28,17
FL,Florida,2016,.72886211,32,17
FL,Florida,2020,.83392054,17,18
GA,Georgia,2008,.74048662,4,16
GA,Georgia,2012,.66641253,32,16
GA,Georgia,2016,.72949177,31,17
GA,Georgia,2020,.82594633,21,19
HI,Hawaii,2008,.64830983,22,14
HI,Hawaii,2012,.61180514,42,15
HI,Hawaii,2016,.69749731,38,16
HI,Hawaii,2020,.80938643,29,15
ID,Idaho,2008,.56245792,40,14
ID,Idaho,2012,.59042871,46,14
ID,Idaho,2016,.59865552,50,14
ID,Idaho,2020,.80318218,30,14
IL,Illinois,2008,.61373055,33,14
IL,Illinois,2012,.70765638,19,15
IL,Illinois,2016,.81456476,8,17
IL,Illinois,2020,.82306814,23,17
IN,Indiana,2008,.54125261,45,13
IN,Indiana,2012,.67243248,30,17
IN,Indiana,2016,.7524423,25,17
IN,Indiana,2020,.80186015,31,17
IA,Iowa,2008,.72717345,6,17
IA,Iowa,2012,.71920282,15,17
IA,Iowa,2016,.79717004,14,17
IA,Iowa,2020,.88006926,3,18
KS,Kansas,2008,.54827225,43,16
KS,Kansas,2012,.6066916,43,15
KS,Kansas,2016,.63740063,47,16
KS,Kansas,2020,.74258453,44,14
KY,Kentucky,2008,.62211877,30,15
KY,Kentucky,2012,.62937295,40,17
KY,Kentucky,2016,.66950512,44,17
KY,Kentucky,2020,.79958832,32,17
LA,Louisiana,2008,.64192152,25,17
LA,Louisiana,2012,.70839709,18,17
LA,Louisiana,2016,.77508509,20,17
LA,Louisiana,2020,.74608916,42,18
ME,Maine,2008,.66847932,19,15
ME,Maine,2012,.69708288,25,17
ME,Maine,2016,.68367225,42,17
ME,Maine,2020,.79687202,33,17
MD,Maryland,2008,.67300588,17,16
MD,Maryland,2012,.76210594,7,17
MD,Maryland,2016,.78587383,18,17
MD,Maryland,2020,.83147788,19,18
MA,Massachusetts,2008,.6041007,35,16
MA,Massachusetts,2012,.70237029,22,17
MA,Massachusetts,2016,.81006205,9,17
MA,Massachusetts,2020,.85612905,10,17
MI,Michigan,2008,.71418381,7,17
MI,Michigan,2012,.76401049,6,17
MI,Michigan,2016,.76568413,22,17
MI,Michigan,2020,.87053281,7,18
MN,Minnesota,2008,.7717796,3,14
MN,Minnesota,2012,.8034336,2,15
MN,Minnesota,2016,.85633618,2,15
MN,Minnesota,2020,.88661325,2,18
MS,Mississippi,2008,.39638984,50,9
MS,Mississippi,2012,.44202143,51,9
MS,Mississippi,2016,.63727033,48,16
MS,Mississippi,2020,.66078192,51,16
MO,Missouri,2008,.72830057,5,15
MO,Missouri,2012,.72448176,13,16
MO,Missouri,2016,.79088968,16,16
MO,Missouri,2020,.82341707,22,16
MT,Montana,2008,.62481946,28,17
MT,Montana,2012,.73315728,11,17
MT,Montana,2016,.74874228,26,17
MT,Montana,2020,.78723419,36,17
NE,Nebraska,2008,.67938238,15,17
NE,Nebraska,2012,.72364074,14,17
NE,Nebraska,2016,.80742395,10,17
NE,Nebraska,2020,.87187797,6,17
NV,Nevada,2008,.6366514,27,17
NV,Nevada,2012,.77091402,5,17
NV,Nevada,2016,.81530148,7,17
NV,Nevada,2020,.8486293,13,17
NH,New Hampshire,2008,.60814708,34,14
NH,New Hampshire,2012,.69601506,26,15
NH,New Hampshire,2016,.72665536,33,15
NH,New Hampshire,2020,.76376802,39,17
NJ,New Jersey,2008,.63705158,26,16
NJ,New Jersey,2012,.63136435,38,17
NJ,New Jersey,2016,.69041908,40,17
NJ,New Jersey,2020,.7457599,43,16
NM,New Mexico,2008,.68426925,12,13
NM,New Mexico,2012,.7103886,17,16
