"","year","Democrat_Alabama","Republican_Alabama","Democrat_Alaska","Republican_Alaska","Democrat_Arizona","Republican_Arizona","Democrat_Arkansas","Republican_Arkansas","Democrat_California","Republican_California","Democrat_Colorado","Republican_Colorado","Democrat_Connecticut","Republican_Connecticut","Democrat_Delaware","Republican_Delaware","Democrat_District Of Columbia","Republican_District Of Columbia","Democrat_Florida","Republican_Florida","Democrat_Georgia","Republican_Georgia","Democrat_Hawaii","Republican_Hawaii","Democrat_Idaho","Republican_Idaho","Democrat_Illinois","Republican_Illinois","Democrat_Indiana","Republican_Indiana","Republican_Iowa","Democrat_Iowa","Republican_Kansas","Democrat_Kansas","Republican_Kentucky","Democrat_Kentucky","Democrat_Louisiana","Republican_Louisiana","Democrat_Maine","Republican_Maine","Republican_Maryland","Democrat_Maryland","Democrat_Massachusetts","Republican_Massachusetts","Democrat_Michigan","Republican_Michigan","Republican_Minnesota","Democrat_Minnesota","Democrat_Mississippi","Republican_Mississippi","Republican_Missouri","Democrat_Missouri","Republican_Montana","Democrat_Montana","Republican_Nebraska","Democrat_Nebraska","Republican_Nevada","Democrat_Nevada","Republican_New Hampshire","Democrat_New Hampshire","Republican_New Jersey","Democrat_New Jersey","Democrat_New Mexico","Republican_New Mexico","Democrat_New York","Republican_New York","Republican_North Carolina","Democrat_North Carolina","Republican_North Dakota","Democrat_North Dakota","Republican_Ohio","Democrat_Ohio","Republican_Oklahoma","Democrat_Oklahoma","Republican_Oregon","Democrat_Oregon","Republican_Pennsylvania","Democrat_Pennsylvania","Democrat_Rhode Island","Republican_Rhode Island","Republican_South Carolina","Democrat_South Carolina","Republican_South Dakota","Democrat_South Dakota","Republican_Tennessee","Democrat_Tennessee","Republican_Texas","Democrat_Texas","Democrat_Utah","Republican_Utah","Democrat_Vermont","Republican_Vermont","Democrat_Virginia","Republican_Virginia","Democrat_Washington","Republican_Washington","Democrat_West Virginia","Republican_West Virginia","Democrat_Wisconsin","Republican_Wisconsin","Democrat_Wyoming","Republican_Wyoming","dem_tpv","rep_tpv"
"1",2020,37.0886251666453,62.9113748333547,44.7381512761507,55.2618487238493,50.1568316791293,49.8431683208707,35.7875667220168,64.2124332779832,64.9089113606676,35.0910886393324,56.9383194923002,43.0616805076998,60.1950490880778,39.8049509119222,59.6267441649845,40.3732558350155,94.4669538476194,5.53304615238056,48.3052453378584,51.6947546621416,50.1193296629086,49.8806703370914,65.0326646465149,34.9673353534851,34.1228570749221,65.8771429250779,58.6590437328069,41.3409562671931,41.804951992557,58.195048007443,54.1832630846371,45.8167369153629,57.4934282556314,42.5065717443686,63.200102900263,36.799897099737,40.535559543709,59.464440456291,54.670404582004,45.329595417996,32.9709529529077,67.0290470470923,67.1155495401482,32.8844504598518,51.4135593444095,48.5864406555905,46.3604863514333,53.6395136485667,41.6150141726111,58.3849858273889,57.8358206444014,42.1641793555986,58.3971800920481,41.6028199079519,59.7840522466017,40.2159477533983,48.7768826599562,51.2231173400438,46.251652278405,53.748347721595,41.9287164132052,58.0712835867948,55.5184901517197,44.4815098482803,61.7168348930122,38.2831651069878,50.6841825331867,49.3158174668133,67.2174084228966,32.7825915771034,54.0766976477027,45.9233023522973,66.9400394969065,33.0599605030935,41.6928430145583,58.3071569854417,49.4107947406509,50.5892052593491,60.5993598839593,39.4006401160407,55.9266087495821,44.0733912504179,63.4347798616815,36.5652201383185,61.8277703720664,38.1722296279336,52.8307212367795,47.1692787632205,39.3063948781484,60.6936051218516,68.2991865528066,31.7008134471934,55.1546869993999,44.8453130006001,59.9255031847907,40.0744968152093,30.201467686078,69.798532313922,50.319063266534,49.680936733466,27.5195656244149,72.4804343755851,52.2403258655805,47.7596741344196
"2",2016,35.6258564060393,64.3741435939607,41.6143452889319,58.3856547110681,48.1099765989605,51.8900234010395,35.7148623102295,64.2851376897705,66.1282205427299,33.8717794572701,52.6833333726824,47.3166666273176,57.1415475172636,42.8584524827364,55.9986214436812,44.0013785563188,95.6951883418541,4.30481165814592,49.3811645272245,50.6188354727755,47.3388274006968,52.6611725993032,67.4413374505355,32.5586625494645,31.6898233191944,68.3101766808056,59.0200513907115,40.9799486092885,39.8826904754919,60.1173095245081,55.0635478451203,44.9364521548797,61.1114703426067,38.8885296573933,65.6706290175099,34.3293709824901,39.8283227621922,60.1716772378078,51.5967911291625,48.4032088708375,35.9791244029031,64.0080200378877,64.6512786896295,35.3487213103705,49.8823317830385,50.1176682169615,49.1683062928195,50.8316937071805,40.9101526759399,59.0898473240601,59.8185609955661,40.1814390044339,61.1096643170244,38.8903356829756,63.5476741131776,36.4523258868224,48.7062905800148,51.2937094199852,49.8029715576193,50.1970284423807,42.7158098570987,57.2841901429013,54.6507949343241,45.3492050656759,63.4115064997754,36.5884935002246,51.9037458037187,48.0962541962813,69.8092428965197,30.1907571034803,54.2676845771359,45.7323154228641,69.3047372383281,30.6952627616719,43.8441610549457,56.1558389450543,50.3755358074902,49.6244641925098,58.3107040926598,41.6892959073402,57.460256360524,42.539743639476,65.9718580794313,34.0281419205687,63.624343045262,36.375656954738,54.713225577972,45.286774422028,37.6171016545887,62.3828983454113,65.1864263238204,34.8135736761796,52.8263762771547,47.1736237228453,58.7869312000648,41.2130687999352,27.8389477487042,72.1610522512958,49.5920109619703,50.4079890380297,24.2946803708462,75.7053196291538,51.115834218916,48.884165781084
"3",2012,38.7837714665623,61.2162285334377,42.6847095184396,57.3152904815604,45.3866197762968,54.6133802237032,37.8455946487704,62.1544053512296,61.8728111632966,38.1271888367034,52.7479883142025,47.2520116857975,58.7725774769071,41.2274225230929,59.4469549192782,40.5530450807218,92.5876492021175,7.41235079788248,50.4422521393662,49.5577478606338,46.0433509019433,53.9566490980567,71.7038485010744,28.2961514989256,33.5786131564247,66.4213868435753,58.5775233921169,41.4224766078831,44.7996254026727,55.2003745973273,47.0406480718998,52.9593519281002,61.113326745253,38.8866732547469,61.5427723938049,38.4572276061951,41.253174385886,58.746825614114,57.8599213935771,42.1400786064229,36.678274213094,63.321725786906,61.78568074906,38.21431925094,54.8005320711779,45.1994679288221,46.0587735383018,53.9412264616982,44.1981008012122,55.8018991987878,54.77866675338,45.22133324662,57.0342318638815,42.9657681361185,61.1293902682254,38.8706097317746,46.5924578366535,53.4075421633465,47.1662480217419,52.8337519782581,41.0480344494142,58.9519655505858,55.2952046469087,44.7047953530913,66.0426948702774,33.9573051297226,51.034034903005,48.965965096995,60.1112082889117,39.8887917110883,48.4859432307505,51.5140567692495,66.7723197430166,33.2276802569834,43.7288328212526,56.2711671787474,47.2680659981082,52.7319340018918,64.0167459788821,35.9832540211179,55.3082547045654,44.6917452954346,59.2184991381952,40.7815008618048,60.351071526294,39.648928473706,58.0078972151064,41.9921027848936,25.3738111048525,74.6261888951475,68.2472588263906,31.7527411736094,51.9673766887645,48.0326233112355,57.6282982706218,42.3717017293782,36.3257023679573,63.6742976320427,53.4634299828724,46.5365700171276,28.8393659884786,71.1606340115214,51.9837232960326,48.0162767039674
"4",2008,39.1090972464273,60.8909027535727,38.9352150834029,61.0647849165971,45.6860992803837,54.3139007196163,39.8282793892827,60.1717206107173,62.2784495915854,37.7215504084146,54.5506346931734,45.4493653068266,61.3183382497542,38.6816617502458,62.6381386498886,37.3618613501114,93.4007683334157,6.59923166658434,51.4196600308993,48.5803399691007,47.3716644891882,52.6283355108118,72.9937258784554,27.0062741215446,36.9754101949795,63.0245898050205,62.7342640445594,37.2657359554406,50.5219534453781,49.4780465546219,45.1512222105327,54.8487777894673,57.6122758189094,42.3877241810906,58.2334275877046,41.7665724122954,40.5428258384146,59.4571741615854,58.8295249834076,41.1704750165924,37.0699127071145,62.9300872928855,63.197078213353,36.802921786647,58.3713015761545,41.6286984238455,44.7706250046073,55.2293749953927,43.3580690071362,56.6419309928638,50.0675791496766,49.9324208503234,51.1694032839407,48.8305967160593,57.6090744221656,42.3909255778344,43.6132618748039,56.3867381251961,45.1314588798905,54.8685411201095,42.135370128576,57.864629871424,57.6649000187976,42.3350999812024,65.7638573797843,34.2361426202157,49.8340366999327,50.1659633000673,54.4086562819681,45.5913437180319,47.6661592377459,52.3338407622541,65.6450811226935,34.3549188773065,41.5862788227728,58.4137211772272,44.7702961845156,55.2297038154844,64.1981375091458,35.8018624908542,54.5444291892091,45.4555708107909,54.2957072341154,45.7042927658846,57.6314718023545,42.3685281976455,55.9359367509407,44.0640632490593,35.4736386272599,64.5263613727401,68.8991817393381,31.1008182606619,53.1825844061276,46.8174155938724,58.752026802109,41.247973197891,43.3262562328627,56.6737437671373,57.0556782478184,42.9443217521816,33.4379766449041,66.5620233550959,53.6511156186613,46.3488843813387
"5",2004,37.1022286477178,62.8977713522822,36.7737170187537,63.2262829812463,44.7249949695117,55.2750050304883,45.0642517483322,54.9357482516678,55.0413204528225,44.9586795471775,47.6337704417574,52.3662295582426,55.2749475605841,44.7250524394159,53.8315062450916,46.1684937549084,90.5202786474361,9.47972135256393,47.4763204243312,52.5236795756688,41.6457673035904,58.3542326964096,54.4044480029303,45.5955519970697,30.6772618166357,69.3227381833643,55.2086340495535,44.7913659504465,39.5765237503415,60.4234762496585,50.3366792627129,49.6633207372871,62.8670987810822,37.1329012189178,60.0076199154739,39.9923800845261,42.6690587307565,57.3309412692435,54.5830164103086,45.4169835896914,43.4342869180821,56.5654163715458,62.7428555129919,37.2571444870081,51.7258444679652,48.2741555320348,48.239089389331,51.760910610669,40.4949992303786,59.5050007696214,53.6197126654398,46.3802873345602,60.5000761756634,39.4999238243366,66.8473372595947,33.1526627404053,51.3175957248615,48.6824042751385,49.3097113798627,50.6902886201373,46.6294636811578,53.3705363188422,49.5996641136451,50.4003358863549,59.8297906564461,40.1702093435539,56.2419720018411,43.7580279981589,63.9093541499433,36.0906458500567,51.0587440047892,48.9412559952108,65.5704016647561,34.4295983352439,47.8913742255499,52.1086257744501,48.7417179029376,51.2582820970624,60.5775105758781,39.4224894241219,58.6364582597492,41.3635417402508,60.9132908010937,39.0867091989063,57.1854454547407,42.8145545452593,61.5101918971099,38.4898081028901,26.653560839878,73.346439160122,60.3010021392512,39.6989978607488,45.8663032864699,54.1336967135301,53.646537683453,46.353462316547,43.5202893702545,56.4797106297455,50.1918032742692,49.8081967257308,29.6872968268283,70.3127031731717,48.7878787878788,51.2121212121212
"6",2000,42.3930580786689,57.6069419213311,32.0630514362708,67.9369485637292,46.7174008328601,53.2825991671399,47.1993104895792,52.8006895104208,56.2029899990718,43.7970100009282,45.514080056721,54.485919943279,59.2556580488545,40.7443419511455,56.7400647852884,43.2599352147116,90.4876944777785,9.51230552222152,49.9953905919664,50.0046094080336,44.0162463770973,55.9837536229027,59.8272962804293,40.1727037195707,29.151509544256,70.848490455744,56.1800103158396,43.8199896841604,41.9952174674181,58.0047825325819,49.8372208124818,50.1627791875182,60.9169074635281,39.0830925364719,57.7276152656766,42.2723847343234,46.0607540336528,53.9392459663472,52.7478415410004,47.2521584589996,41.5677010575457,58.4322989424543,64.7893437606338,35.2106562393662,52.6346064817341,47.3653935182659,48.7135880241887,51.2864119758113,41.3945151607537,58.6054848392463,51.7119486567507,48.2880513432493,63.6563619786697,36.3436380213303,65.179480862085,34.820519137915,51.8568384996724,48.1431615003276,50.6678001952188,49.3321998047812,41.7885905832791,58.2114094167209,50.0319260293091,49.9680739706909,63.5759915830107,36.4240084169893,56.463996981503,43.536003018497,64.7273965706163,35.2726034293837,51.8387222206661,48.1612777793339,61.0806712221189,38.9193287778811,49.7641080144694,50.2358919855306,47.8515212831969,52.1484787168031,65.6491160675993,34.3508839324007,58.1621060676503,41.8378939323497,61.6147125723739,38.3852874276261,51.962866785179,48.037133214821,60.9562701485629,39.0437298514371,28.2744945686759,71.7255054313241,55.4403508967734,44.5596491032266,45.8527636941667,54.1472363058333,52.9447710094054,47.0552289905946,46.7579259840626,53.2420740159374,50.1150683031578,49.8849316968422,29.017694359683,70.982305640317,50.2596053997923,49.7403946002077
"7",1996,46.2661288463111,53.7338711536889,39.5714974941662,60.4285025058338,51.2237711518543,48.7762288481457,59.3528248647555,40.6471751352445,57.2162652309689,42.7837347690311,49.2407923697726,50.7592076302274,60.3635068823127,39.6364931176873,58.62365663257,41.37634336743,90.1235482088642,9.87645179113574,53.1549611951064,46.8450388048936,49.3677308014458,50.6322691985542,64.2761518082488,35.7238481917512,39.2009724242841,60.7990275757159,59.6050921854578,40.3949078145422,46.8515936449543,53.1484063550457,44.2666110762673,55.7333889237327,60.0723655479841,39.9276344520159,49.4709488156572,50.5290511843428,56.5608382715921,43.4391617284079,62.6621204168553,37.3378795831447,41.3615765137276,58.6384234862724,68.6378254054151,31.3621745945849,57.3244133666968,42.6755866333032,40.6193107286242,59.3806892713758,47.2527762454129,52.7472237545871,46.4529625235718,53.5470374764282,51.6874104507242,48.3125895492758,60.554822500783,39.445177499217,49.413468644753,50.586531355247,44.3883682893108,55.6116317106892,40.0332067966873,59.9667932033127,54.0241305610316,45.9758694389684,67.7320293812358,32.2679706187642,52.5299866697346,47.4700133302654,53.9113190058416,46.0886809941584,46.4030508182795,53.5969491817205,54.4006091067058,45.5993908932942,45.3068842803418,54.6931157196582,44.8387946391675,55.1612053608325,69.0042133874984,30.9957866125016,53.1119759219855,46.8880240780145,51.9335853951345,48.0664146048655,48.7133576581394,51.2866423418606,52.6606233821223,47.3393766178777,37.9805121807439,62.0194878192561,63.182830384062,36.817169615938,48.9394054929331,51.0605945070669,57.1946528447813,42.8053471552187,58.3546651761079,41.6453348238921,55.9191966614502,44.0808033385498,42.512082565104,57.487917434896,54.7274749721913,45.2725250278087
"8",1992,46.178873540097,53.821126459903,43.4257379613298,56.5742620386702,48.6980960169881,51.3019039830119,59.9922670661225,40.0077329338775,58.5167287693791,41.4832712306209,52.802065522825,47.197934477175,54.1251167074267,45.8748832925733,55.1979927047253,44.8020072952747,90.2970696193927,9.70293038060726,48.803158910419,51.196841089581,50.3421284510966,49.6578715489034,56.7199777308213,43.2800222691787,40.3385169788434,59.6614830211566,58.5882182122468,41.4117817877532,46.1651054660612,53.8348945339388,46.2674708864379,53.7325291135621,53.5410555876176,46.4589444123824,48.131222305234,51.868777694766,52.6651378604156,47.3348621395844,56.0558728645483,43.9441271354517,41.7000999607823,58.2999000392177,62.0922286712016,37.9077713287984,54.6151596469711,45.3848403530289,42.2786597755136,57.7213402244864,45.0715105326158,54.9284894673842,43.4930338996864,56.5069661003136,48.2759428751247,51.7240571248753,61.3117304323316,38.6882695676684,48.1752224803823,51.8247775196177,49.2034486445505,50.7965513554495,48.5796816479066,51.4203183520934,55.1421567697564,44.8578432302436,62.1108254042249,37.8891745957751,50.4584642791867,49.5415357208133,57.8747047729088,42.1252952270912,48.8318366530455,51.1681633469545,55.6221183026187,44.3778816973813,43.3661084834072,56.6338915165928,44.4514705389847,55.5485294610153,61.8437228182082,38.1562771817918,52.3568454272403,47.6431545727597,52.2610337683386,47.7389662316614,47.401963352924,52.598036647076,52.2421631658855,47.7578368341145,36.2464208860197,63.7535791139803,60.2542013585069,39.7457986414931,47.4449870658566,52.5550129341434,57.5917010725112,42.4082989274888,57.7688380819407,42.2311619180593,52.7945085021154,47.2054914978846,46.2079765706034,53.7920234293966,53.4825870646766,46.5174129353234
"9",1988,40.2544316019111,59.7455683980889,37.8366825657466,62.1633174342534,39.2565084690075,60.7434915309925,42.8083572868849,57.1916427131151,48.1926894636241,51.8073105363759,46.0461756185029,53.9538243814971,47.418849543567,52.581150456433,43.7588104041307,56.2411895958693,85.2457526056568,14.7542473943432,38.7479283541484,61.2520716458516,39.7963836552397,60.2036163447603,54.8062759801589,45.1937240198411,36.712177149367,63.287822850633,48.9507230036411,51.0492769963589,39.874008875068,60.125991124932,44.8515188599175,55.1484811400825,56.7275017021865,43.2724982978135,55.8537678117885,44.1462321882115,44.8087076760503,55.1912923239497,44.2289812965317,55.7710187034683,51.464430231117,48.535569768883,53.982588933187,46.017411066813,46.0219500399449,53.9780499600551,46.449140074756,53.550859925244,39.4789170448172,60.5210829551828,51.9969116809772,48.0030883190228,52.9881897213843,47.0118102786157,60.5540854941714,39.4459145058286,60.8185891645857,39.1814108354143,63.2336327271339,36.7663672728661,56.9011576135352,43.0988423864648,47.4900842595146,52.5099157404854,53.4220526391879,46.5779473608121,58.15753786855,41.84246213145,56.5953557278677,43.4046442721323,55.4740646502507,44.5259353497493,58.3898122724417,41.6101877275583,47.616319202402,52.383680797598,51.1695469953377,48.8304530046623,55.8778705533106,44.1221294466894,62.0721455644183,37.9278544355817,53.1923788085859,46.8076211914141,58.2186405019708,41.7813594980292,56.3463329311373,43.6536670688627,32.6121251680993,67.3878748319007,48.2182869232755,51.7817130767245,39.6410539424176,60.3589460575824,50.8077117545858,49.1922882454142,52.3768931976206,47.6231068023794,51.823466294561,48.176533705439,38.5751235774227,61.4248764225773,46.1150353178608,53.8849646821393
"10",1984,38.7366046486817,61.2633953513183,30.9440873522836,69.0559126477164,32.883272429994,67.116727570006,38.7724118980559,61.2275881019441,41.7754651778023,58.2245348221977,35.6342301643494,64.3657698356506,39.000831236982,60.999168763018,40.0463273008044,59.9536726991956,86.1477339471008,13.8522660528992,34.6675867864545,65.3324132135455,39.8021798518602,60.1978201481398,44.2962757823506,55.7037242176494,26.724428802585,73.275571197415,43.5267466927792,56.4732533072208,37.9265708783163,62.0734291216837,53.7238253300201,46.2761746699799,67.0294771115697,32.9705228884303,60.364182389452,39.635817610548,38.5808388374578,61.4191611625422,38.9308820993984,61.0691179006016,52.7575271921446,47.2424728078554,48.6016697627406,51.3983302372594,40.4536750018314,59.5463249981686,49.909109231805,50.090890768195,37.6849649410584,62.3150350589416,60.024750667877,39.975249332123,61.301398763687,38.698601236313,71.004753673293,28.995246326707,67.3156815547829,32.6843184452171,68.9344522544057,31.0655477455943,60.5213910814963,39.4786089185037,39.6504018708118,60.3495981291882,47.0582821297111,52.9417178702889,62.0278629498869,37.9721370501131,65.7345823831477,34.2654176168523,59.4706837190683,40.5293162809317,69.109825847699,30.890174152301,56.1047113393374,43.8952886606626,53.7007314771216,46.2992685228784,48.1702697550747,51.8297302449253,64.1187794141238,35.8812205858762,63.2995132435679,36.7004867564321,58.181848094453,41.818151905547,63.7863051730134,36.2136948269866,24.8799789903183,75.1200210096818,41.3350892722209,58.6649107277791,37.3243120607802,62.6756879392198,43.1536489836337,56.8463510163663,44.7275656754016,55.2724343245984,45.3779842903783,54.6220157096217,28.5996002379281,71.4003997620719,40.8450704225352,59.1549295774648
